row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoản,Khác,Loại trừ,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoản,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(6.416.087),(27.081),(170.698),(58.973),(5.381),167.327,(6.510.893),-6416087.0,-27081.0,-170698.0,-58973.0,-5381.0,167327.0,-6510893.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,(16.825.384),(62.743),(398.775),(150.846),(14.761),195.394,(17.257.115),-16825384.0,-62743.0,-398775.0,-150846.0,-14761.0,195394.0,-17257115.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,30.648.226,23.585,292.455,139.687,2.192,(242.020),30.864.125,30648226.0,23585.0,292455.0,139687.0,2192.0,-242020.0,30864125.0
(Chi phí)/ Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/ Hoàn nhập dự phòng rủi ro tín dụng,(Chi phí)/ Hoàn nhập dự phòng rủi ro tín dụng,(20.171.976),(8.597),-,3.870,-,44.787,(20.131.916),-20171976.0,-8597.0,,3870.0,,44787.0,-20131916.0
TỔNG LỢI NHUÂN TRƯỚC THUẾ,TỔNG LỢI NHUÂN TRƯỚC THUẾ,TỔNG LỢI NHUÂN TRƯỚC THUẾ,10.476.250,14.988,292.455,143.557,2.192,(197.233),10.732.209,10476250.0,14988.0,292455.0,143557.0,2192.0,-197233.0,10732209.0
Chi phí thuê TNDN hiện hành,Chi phí thuê TNDN hiện hành,Chi phí thuê TNDN hiện hành,(2.073.156),-,(66.349),(23.152),-,-,(2.162.657),-2073156.0,,-66349.0,-23152.0,,,-2162657.0
Thu nhập/(Chi phí) thuê TNDN hoãn lại,Thu nhập/(Chi phí) thuê TNDN hoãn lại,Thu nhập/(Chi phí) thuê TNDN hoãn lại,1.002,-,(1.338),-,-,(21.459),(21.795),1002.0,,-1338.0,,,-21459.0,-21795.0
LỢI NHUÂN SAU THUẾ,LỢI NHUÂN SAU THUẾ,LỢI NHUÂN SAU THUẾ,8.404.096,14.988,224.768,120.405,2.192,(218.692),8.547.757,8404096.0,14988.0,224768.0,120405.0,2192.0,-218692.0,8547757.0
Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,,,,,,,
TỔNG TÀI SẢN,Tại ngày 31 tháng 12 năm 2019 > TỔNG TÀI SẢN,TỔNG TÀI SẢN,1.496.004.191,1.490.217,6.127.220,2.760.753,2.306.449,(18.731.537),1.489.957.293,1496004191.0,1490217.0,6127220.0,2760753.0,2306449.0,-18731537.0,1489957293.0
TỔNG NỘ PHẢI TRẢ,Tại ngày 31 tháng 12 năm 2019 > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,1.418.504.604,602.170,3.684.428,1.476.141,9.809,(11.972.840),1.412.304.312,1418504604.0,602170.0,3684428.0,1476141.0,9809.0,-11972840.0,1412304312.0
