row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thắng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối doái,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối (đã điều chỉnh),Lợi ích cổ đông không kiểm soát (đã điều chỉnh),Cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thắng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối doái,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối (đã điều chỉnh),numeric__Lợi ích cổ đông không kiểm soát (đã điều chỉnh),numeric__Cộng
Hạch toán dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán dự phòng phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,-,(1.329.412.548),-,(1.329.412.548),,,,,,,,,-1329412548.0,,-1329412548.0
Truy thu thuế,Truy thu thuế,Truy thu thuế,-,-,-,-,-,-,-,-,(1.040.159.979),(998.476.916),(2.038.636.895),,,,,,,,,-1040159979.0,-998476916.0,-2038636895.0
Giảm khác,Giảm khác,Giảm khác,-,(25.220.991),-,-,-,(1.072.309.916),-,-,(2.347.173.985),(156.637.058),(3.601.341.950),,-25220991.0,,,,-1072309916.0,,,-2347173985.0,-156637058.0,-3601341950.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,4.483.500.000.000,931.929.412.457,22.859.134.442,(2.471.750),(211.681.407.015),(1.072.309.916),285.828.118.736,6.590.730.292,775.940.270.061,663.631.132.845,6.957.522.610.152,4483500000000.0,931929412457.0,22859134442.0,-2471750.0,-211681407015.0,-1072309916.0,285828118736.0,6590730292.0,775940270061.0,663631132845.0,6957522610152.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,-,-,-,-,600.749.582.247,66.560.236.373,667.309.818.620,,,,,,,,,600749582247.0,66560236373.0,667309818620.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,-,(493.185.000.000),(66.545.147.252),(559.730.147.252),,,,,,,,,-493185000000.0,-66545147252.0,-559730147252.0
Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,Trích lập quỹ đầu tư phát triển,-,-,-,-,-,-,90.763.266.358,-,(90.763.266.358),-,-,,,,,,,90763266358.0,,-90763266358.0,,
Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,Trích lập quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,-,(61.463.118.098),(16.752.188.676),(78.215.306.774),,,,,,,,,-61463118098.0,-16752188676.0,-78215306774.0
Trá thủ lao của Hội đồng quản trị,Trá thủ lao của Hội đồng quản trị,Trá thủ lao của Hội đồng quản trị,-,-,-,-,-,-,-,-,(1.533.045.127),(1.098.144.874),(2.631.190.001),,,,,,,,,-1533045127.0,-1098144874.0,-2631190001.0
Do thoái vốn tại Công ty con,Do thoái vốn tại Công ty con,Do thoái vốn tại Công ty con,-,-,(718.129.552),-,(139.009.836),-,(4.022.526.306),-,4.879.665.694,21.448.485.244,21.448.485.244,,,-718129552.0,,-139009836.0,,-4022526306.0,,4879665694.0,21448485244.0,21448485244.0
Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,Giảm do Công ty con điều chỉnh hồi tố lợi nhuận các năm trước,-,-,-,-,-,-,-,-,(5.012.332.610),(4.917.601.043),(9.929.933.653),,,,,,,,,-5012332610.0,-4917601043.0,-9929933653.0
Do công ty con thay đổi vốn góp,Do công ty con thay đổi vốn góp,Do công ty con thay đổi vốn góp,-,(21.006.963),28.421.691,-,-,-,181.900.455,,227.230.675,1.636.711.353,2.053.257.211,,-21006963.0,28421691.0,,,,181900455.0,,227230675.0,1636711353.0,2053257211.0
Hạch toán phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,Hạch toán phải trả về quỹ hỗ trợ sắp xếp doanh nghiệp,-,-,-,-,-,-,-,-,(17.820.955.138),-,(17.820.955.138),,,,,,,,,-17820955138.0,,-17820955138.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(1.515.616.362),-,-,(74.858.734),(8.281.722),(1.598.756.818),,,,,,-1515616362.0,,,-74858734.0,-8281722.0,-1598756818.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,4.483.500.000.000,931.908.405.494,22.169.426.581,(2.471.750),(211.820.416.851),(2.587.926.278),372.750.759.243,6.590.730.292,711.944.172.612,663.955.202.248,6.978.407.881.591,4483500000000.0,931908405494.0,22169426581.0,-2471750.0,-211820416851.0,-2587926278.0,372750759243.0,6590730292.0,711944172612.0,663955202248.0,6978407881591.0
