row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2015,MÃU SỐ B 03-DN Đơn vị: VND,numeric__Mã số,numeric__Năm 2015,numeric__MÃU SỐ B 03-DN Đơn vị: VND
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,72.242.114.161,-,27.0,72242114161.0,
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,153.357.163.910,(470.117.146.547),30.0,153357163910.0,-470117146547.0
III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,1.220.951.127.000,114.643.430.000,31.0,1220951127000.0,114643430000.0
2. Tiền thu từ đi vay,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,883.097.031.980,33.377.520.514,33.0,883097031980.0,33377520514.0
3. Tiền trả nợ gốc vay,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(808.097.031.980),(33.377.520.514),34.0,-808097031980.0,-33377520514.0
"4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","4. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(168.359.798.000),-,36.0,-168359798000.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,1.127.591.329.000,114.643.430.000,40.0,1127591329000.0,114643430000.0
Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),Lưu chuyển tiền thuần trong kỳ (50 = 20+30+40),50,536.488.922.628,329.178.291.918,50.0,536488922628.0,329178291918.0
Tiền và tương đương tiền đầu kỳ,III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu kỳ,Tiền và tương đương tiền đầu kỳ,60,506.580.539.574,177.402.247.656,60.0,506580539574.0,177402247656.0
Tiền và tương đương tiền cuối kỳ (70 = 50+60),III. LU'U CHUYỄN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối kỳ (70 = 50+60),Tiền và tương đương tiền cuối kỳ (70 = 50+60),70,1.043.069.462.202,506.580.539.574,70.0,1043069462202.0,506580539574.0
