row_label_raw,row_label_full,24.2. Chi tiết vốn góp của chủ sở hữu,31/12/2022,01/01/2022,numeric__31/12/2022,numeric__01/01/2022
- Chi sự nghiệp,25. Nguồn kinh phí > - Chi sự nghiệp,- Chi sự nghiệp,(86.831.612.798),(56.609.572.618),-86831612798.0,-56609572618.0
- Nguồn kinh phí còn lại cuối năm,25. Nguồn kinh phí > - Nguồn kinh phí còn lại cuối năm,- Nguồn kinh phí còn lại cuối năm,(37.849.739.470),(37.991.052.791),-37849739470.0,-37991052791.0
26. Các khoản mục ngoài Băng Cân đối kế toán hợp nhất,26. Các khoản mục ngoài Băng Cân đối kế toán hợp nhất,26. Các khoản mục ngoài Băng Cân đối kế toán hợp nhất,31/12/2022,01/01/2022,,
a. Tài sản thuê ngoài,a. Tài sản thuê ngoài,a. Tài sản thuê ngoài,-,-,,
b. Tài sản nhận giữ hộ,a. Tài sản thuê ngoài > b. Tài sản nhận giữ hộ,b. Tài sản nhận giữ hộ,146.956.722.956,197.174.253.797,146956722956.0,197174253797.0
"- Vật tư hàng hóa nhận giữ hộ, nhận gia công","a. Tài sản thuê ngoài > - Vật tư hàng hóa nhận giữ hộ, nhận gia công","- Vật tư hàng hóa nhận giữ hộ, nhận gia công",146.956.722.956,197.174.253.797,146956722956.0,197174253797.0
"- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp","- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp","- Hàng hóa nhận bán hộ, nhận ký gửi, nhận cảm có, thế chấp",-,-,,
c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),c. Ngoại tệ các loại (USD),,,,
- Ngoại tệ USD,c. Ngoại tệ các loại (USD) > - Ngoại tệ USD,- Ngoại tệ USD,24.881.189,36.379.062,24881189.0,36379062.0
- Ngoại tệ EUR,c. Ngoại tệ các loại (USD) > - Ngoại tệ EUR,- Ngoại tệ EUR,1.857,35.615,1857.0,35615.0
- Ngoại tệ LAK,c. Ngoại tệ các loại (USD) > - Ngoại tệ LAK,- Ngoại tệ LAK,485.765,485.765,485765.0,485765.0
- Ngoại tệ KHR,c. Ngoại tệ các loại (USD) > - Ngoại tệ KHR,- Ngoại tệ KHR,1.059.363.339,2.462.802.816,1059363339.0,2462802816.0
- Ngoại tệ khác,c. Ngoại tệ các loại (USD) > - Ngoại tệ khác,- Ngoại tệ khác,240.297,80.182,240297.0,80182.0
e. Nợ khó đòi đã xử lý,c. Ngoại tệ các loại (USD) > e. Nợ khó đòi đã xử lý,e. Nợ khó đòi đã xử lý,67.845.979.308,67.845.979.308,67845979308.0,67845979308.0
