row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận chuyểnVND,"Thiết bị,dụng cụ quản lýVND",Tài sản cố định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận chuyểnVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sản cố định khácVND,numeric__Tổng cộngVND
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,9.501.666.475.512,4.164.761.938.597,10.233.933.652.438,796.831.674.805,36.359.898.038,24.733.553.639.390,9501666475512.0,4164761938597.0,10233933652438.0,796831674805.0,36359898038.0,24733553639390.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,776.796.799.375,352.609.340.689,711.987.865.937,91.256.460.235,6.384.153.664,1.939.034.619.900,776796799375.0,352609340689.0,711987865937.0,91256460235.0,6384153664.0,1939034619900.0
Chuyển sang bất động sản đầu tư,Giá trị hao mòn lũy kế > Chuyển sang bất động sản đầu tư,Chuyển sang bất động sản đầu tư,(1.079.650.985),-,-,-,-,(1.079.650.985),-1079650985.0,,,,,-1079650985.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,398.581.306,(2.305.803.804),4.446.070.827,(1.739.938.661),(798.909.668),-,398581306.0,-2305803804.0,4446070827.0,-1739938661.0,-798909668.0,
Thanh lý và xóa sổ,Giá trị hao mòn lũy kế > Thanh lý và xóa sổ,Thanh lý và xóa sổ,(78.836.891.273),(64.664.929.796),(85.573.820.438),(23.080.468.209),(1.992.703.695),(254.148.813.411),-78836891273.0,-64664929796.0,-85573820438.0,-23080468209.0,-1992703695.0,-254148813411.0
Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,Chênh lệch tỷ giá quy đổi tiền tệ báo cáo,144.482.110,(14.629.871),117.678.425,(8.922.426),79.886.683,318.494.921,144482110.0,-14629871.0,117678425.0,-8922426.0,79886683.0,318494921.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,10.199.089.796.045,4.450.385.915.815,10.864.911.447.189,863.258.805.744,40.032.325.022,26.417.678.289.815,10199089796045.0,4450385915815.0,10864911447189.0,863258805744.0,40032325022.0,26417678289815.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.531.726.826.169,1.214.657.081.665,3.379.474.319.766,160.125.470.307,24.465.330.928,11.310.449.028.835,6531726826169.0,1214657081665.0,3379474319766.0,160125470307.0,24465330928.0,11310449028835.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.755.319.243.639,1.263.525.255.135,2.986.545.127.386,169.602.716.364,23.740.085.983,11.198.732.428.507,6755319243639.0,1263525255135.0,2986545127386.0,169602716364.0,23740085983.0,11198732428507.0
