row_label_raw,row_label_full,col_0,Qua hạn,Không chịu rule ro lãi suất do định giá lại,Ký thay đổi lãi suất,Ký thay đổi lãi suất_1,Ký thay đổi lãi suất_2,Ký thay đổi lãi suất_3,Ký thay đổi lãi suất_4,Ký thay đổi lãi suất_5,Ký thay đổi lãi suất_6,numeric__Qua hạn,numeric__Không chịu rule ro lãi suất do định giá lại,numeric__Ký thay đổi lãi suất,numeric__Ký thay đổi lãi suất_1,numeric__Ký thay đổi lãi suất_2,numeric__Ký thay đổi lãi suất_3,numeric__Ký thay đổi lãi suất_4,numeric__Ký thay đổi lãi suất_5,numeric__Ký thay đổi lãi suất_6
"Gộp vốn, đầu tư dài hạn (*)","Tải sản > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,8.167.355,-,-,-,-,-,-,8.167.355,,8167355.0,,,,,,,8167355.0
Tài sản cố định,Tải sản > Tài sản cố định,Tài sản cố định,-,9.414.973,-,-,-,-,-,-,9.414.973,,9414973.0,,,,,,,9414973.0
Tài sản Có khác (*),Tải sản > Tài sản Có khác (*),Tài sản Có khác (*),372.238,16.758.859,-,-,-,-,-,-,17.131.097,372238.0,16758859.0,,,,,,,17131097.0
Tổng tài sản,Tải sản > Tổng tài sản,Tổng tài sản,16.480.990,48.897.715,393.320.005,251.086.770,229.539.850,94.927.025,79.495.242,80.144.612,1.193.892.209,16480990.0,48897715.0,393320005.0,251086770.0,229539850.0,94927025.0,79495242.0,80144612.0,1193892209.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay từ NHNN và các TCTD khác,Nợ phải trả > Tiền gửi và vay từ NHNN và các TCTD khác,Tiền gửi và vay từ NHNN và các TCTD khác,-,149.500,101.275.649,28.018.716,27.506.953,5.748.475,75.183,415.880,163.190.356,,149500.0,101275649.0,28018716.0,27506953.0,5748475.0,75183.0,415880.0,163190356.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,312.508.974,169.315.018,153.092.289,174.235.567,35.677.326,1.973,844.831.147,,,312508974.0,169315018.0,153092289.0,174235567.0,35677326.0,1973.0,844831147.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,70.458,78.644,85.911,383.384,2.974.639,8.129.691,11.722.727,,,70458.0,78644.0,85911.0,383384.0,2974639.0,8129691.0,11722727.0
Phát hành giấy tờ cỏ giả,Nợ phải trả > Phát hành giấy tờ cỏ giả,Phát hành giấy tờ cỏ giả,-,-,12.579.895,6.436.460,9.416.960,29.682.647,6.122.405,19.500.062,83.738.429,,,12579895.0,6436460.0,9416960.0,29682647.0,6122405.0,19500062.0,83738429.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,24.936.898,-,-,-,-,-,-,24.936.898,,24936898.0,,,,,,,24936898.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,25.086.398,426.434.976,203.848.838,190.102.113,210.050.073,44.849.553,28.047.606,1.128.419.557,,25086398.0,426434976.0,203848838.0,190102113.0,210050073.0,44849553.0,28047606.0,1128419557.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,16.480.990,23.811.317,(33.114.971),47.237.932,39.437.737,(115.123.048),34.645.689,52.097.006,65.472.652,16480990.0,23811317.0,-33114971.0,47237932.0,39437737.0,-115123048.0,34645689.0,52097006.0,65472652.0
Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nở (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nở (ròng),Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nở (ròng),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Các cam kết ngoại bảng có tác động tối mức độ nhạy cảm với lãi suất của các tài sản và công nở (ròng) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng",16.480.990,23.811.317,(33.114.971),47.237.932,39.437.737,(115.123.048),34.645.689,52.097.006,65.472.652,16480990.0,23811317.0,-33114971.0,47237932.0,39437737.0,-115123048.0,34645689.0,52097006.0,65472652.0
