row_label_raw,row_label_full,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác > Mã chứng khoán,Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá gốc,Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá trị hợp lý,Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Dự phòng,Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá gốc,Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá trị hợp lý,numeric__Đầu tư góp vốn vào đơn vị khác > Mã chứng khoán,numeric__Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá gốc,numeric__Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Giá trị hợp lý,numeric__Đầu tư góp vốn vào đơn vị khác > 31/12/2020 > Dự phòng,numeric__Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá gốc,numeric__Đầu tư góp vốn vào đơn vị khác > 01/01/2020 > Giá trị hợp lý
- Công ty TNHH MTV Cao su Chư Sê,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Chư Sê,- Công ty TNHH MTV Cao su Chư Sê,1.457.728.529.898,,,-,1.457.728.529.898,,1457728529898.0,,,,1457728529898.0,
- Công ty TNHH MTV Cao su Kon Tum,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Kon Tum,- Công ty TNHH MTV Cao su Kon Tum,627.880.177.283,,,-,627.880.177.283,,627880177283.0,,,,627880177283.0,
- Công ty TNHH MTV Cao su Mang Yang,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Mang Yang,- Công ty TNHH MTV Cao su Mang Yang,1.452.749.526.832,,,-,1.452.749.526.832,(42.023.935.860),1452749526832.0,,,,1452749526832.0,-42023935860.0
- Công ty TNHH MTV Cao su Chư Pãh,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Chư Pãh,- Công ty TNHH MTV Cao su Chư Pãh,1.152.890.007.568,,,-,1.152.890.007.568,,1152890007568.0,,,,1152890007568.0,
- Công ty TNHH MTV Cao su Quảng Nam,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Quảng Nam,- Công ty TNHH MTV Cao su Quảng Nam,643.081.414.030,,,(130.486.497.154),643.081.414.030,(50.961.698.571),643081414030.0,,,-130486497154.0,643081414030.0,-50961698571.0
- Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,- Công ty TNHH MTV Cao su Nam Giang - Quảng Nam,384.196.304.173,,,(30.701.515.047),384.196.304.173,,384196304173.0,,,-30701515047.0,384196304173.0,
- Công ty TNHH MTV Cao su Hà Tĩnh,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Hà Tĩnh,- Công ty TNHH MTV Cao su Hà Tĩnh,667.308.339.858,,,(47.218.396.412),667.308.339.858,(47.275.137.946),667308339858.0,,,-47218396412.0,667308339858.0,-47275137946.0
- Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,- Công ty TNHH MTV Cao su Hương Khê - Hà Tĩnh,625.705.840.423,,,(43.352.835.297),625.705.840.423,(28.150.570.086),625705840423.0,,,-43352835297.0,625705840423.0,-28150570086.0
- Công ty TNHH MTV Cao su Thanh Hóa,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Thanh Hóa,- Công ty TNHH MTV Cao su Thanh Hóa,239.803.607.484,,,(14.895.538.685),239.803.607.484,(14.895.538.685),239803607484.0,,,-14895538685.0,239803607484.0,-14895538685.0
- Công ty TNHH MTV Cao su Quảng Trị,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Quảng Trị,- Công ty TNHH MTV Cao su Quảng Trị,432.783.235.397,,,-,432.783.235.397,,432783235397.0,,,,432783235397.0,
- Công ty TNHH MTV Cao su Bình Thuận,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Bình Thuận,- Công ty TNHH MTV Cao su Bình Thuận,313.741.909.846,,,-,313.741.909.846,,313741909846.0,,,,313741909846.0,
- Công ty TNHH MTV Cao su Quảng Ngãi,Công ty con đầu tư 100% vốn > - Công ty TNHH MTV Cao su Quảng Ngãi,- Công ty TNHH MTV Cao su Quảng Ngãi,79.426.489.341,,,(45.918.047.256),79.426.489.341,(1.768.092.963),79426489341.0,,,-45918047256.0,79426489341.0,-1768092963.0
- Trường Cao đẳng Công nghiệp Cao su,Công ty con đầu tư 100% vốn > - Trường Cao đẳng Công nghiệp Cao su,- Trường Cao đẳng Công nghiệp Cao su,18.965.002.003,,,-,18.965.002.003,,18965002003.0,,,,18965002003.0,
- Tạp chí Cao su Việt Nam,Công ty con đầu tư 100% vốn > - Tạp chí Cao su Việt Nam,- Tạp chí Cao su Việt Nam,11.336.097.506,,,-,11.336.097.506,,11336097506.0,,,,11336097506.0,
- Trung tâm Y tế Cao su,Công ty con đầu tư 100% vốn > - Trung tâm Y tế Cao su,- Trung tâm Y tế Cao su,1.719.938.855,,,-,1.719.938.855,,1719938855.0,,,,1719938855.0,
- Viện Nghiên cứu Cao su Việt Nam,Công ty con đầu tư 100% vốn > - Viện Nghiên cứu Cao su Việt Nam,- Viện Nghiên cứu Cao su Việt Nam,131.788.294.322,,,-,131.788.294.322,,131788294322.0,,,,131788294322.0,
,,,19.650.142.733.535,,-,(312.572.829.851),19.650.142.733.535,- (185.074.974.111),19650142733535.0,,,-312572829851.0,19650142733535.0,
