row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2017 triệu đồng,Ngày 31 tháng 12 năm 2016 (trình bày lại) triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2017 triệu đồng,numeric__Ngày 31 tháng 12 năm 2016 (trình bày lại) triệu đồng
Chứng khoán đầu tư sẵn sàng để bán,Dự phòng rủi ro > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,12.1,125.759.661,125.573.894,121.0,125759661.0,125573894.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng rủi ro > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,5.133.392,11.743.021,122.0,5133392.0,11743021.0
Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro > Dự phòng rủi ro chứng khoán đầu tư,Dự phòng rủi ro chứng khoán đầu tư,12.4,(2.500.288),(3.090.229),124.0,-2500288.0,-3090229.0
"Góp vốn, đầu tư dài hạn","Dự phòng rủi ro > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",13,3.114.101,3.202.637,13.0,3114101.0,3202637.0
Vốn góp liên doanh,Dự phòng rủi ro > Vốn góp liên doanh,Vốn góp liên doanh,13.1,2.704.255,2.774.766,131.0,2704255.0,2774766.0
Đầu tư dài hạn khác,Dự phòng rủi ro > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,412.645,430.445,,412645.0,430445.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng rủi ro > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(2.799),(2.574),,-2799.0,-2574.0
Tài sản cố định,Dự phòng rủi ro > Tài sản cố định,Tài sản cố định,,11.436.527,10.623.575,,11436527.0,10623575.0
Tài sản cố định hữu hình,Dự phòng rủi ro > Tài sản cố định hữu hình,Tài sản cố định hữu hình,14,6.386.736,6.422.388,14.0,6386736.0,6422388.0
Nguyên giá tài sản cố định,Dự phòng rủi ro > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,13.310.305,12.538.577,,13310305.0,12538577.0
Khẩu hao tài sản cố định,Dự phòng rủi ro > Khẩu hao tài sản cố định,Khẩu hao tài sản cố định,,(6.923.569),(6.116.189),,-6923569.0,-6116189.0
Tài sản cố định vô hình,Dự phòng rủi ro > Tài sản cố định vô hình,Tài sản cố định vô hình,15,5.049.791,4.201.187,15.0,5049791.0,4201187.0
Nguyên giá tài sản cố định,Dự phòng rủi ro > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,6.320.043,5.144.462,,6320043.0,5144462.0
Hao mòn tài sản cố định,Dự phòng rủi ro > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.270.252),(943.275),,-1270252.0,-943275.0
Tài sản Có khác,Dự phòng rủi ro > Tài sản Có khác,Tài sản Có khác,16,31.427.618,29.688.994,16.0,31427618.0,29688994.0
Các khoản phải thu,Dự phòng rủi ro > Các khoản phải thu,Các khoản phải thu,16.1,13.714.382,12.573.436,161.0,13714382.0,12573436.0
"Các khoản lãi, phí phải thu","Dự phòng rủi ro > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",,14.523.919,14.106.717,,14523919.0,14106717.0
Tài sản Có khác,Dự phòng rủi ro > Tài sản Có khác,Tài sản Có khác,16.2,3.197.133,3.010.388,162.0,3197133.0,3010388.0
Trong đó: Lợi thế thương mại,Dự phòng rủi ro > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,17,2.722,4.537,17.0,2722.0,4537.0
Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,Các khoản dự phòng rủi ro cho các tài sản,,,,,,
Có nội bằng khác,Các khoản dự phòng rủi ro cho các tài sản > Có nội bằng khác,Có nội bằng khác,,(7.816),(1.547),,-7816.0,-1547.0
TỔNG TÀI SẢN CÓ,Các khoản dự phòng rủi ro cho các tài sản > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,1.095.060.842,948.567.505,,1095060842.0,948567505.0
