row_label_raw,row_label_full,Tài sản,Tài sản_1,Tài sản_2,Tài sản_3,Tài sản_4,Tài sản_5,Tài sản_6,Tài sản_7,Tài sản_8,Tài sản_9,numeric__Tài sản_1,numeric__Tài sản_2,numeric__Tài sản_3,numeric__Tài sản_4,numeric__Tài sản_5,numeric__Tài sản_6,numeric__Tài sản_7,numeric__Tài sản_8,numeric__Tài sản_9
Tổng tài sản,Tổng tài sản,Tổng tài sản,225.917.610,11.882.179,322.119,121.113,156.693,23.629,2.561,46.615,238.472.519,225917610.0,11882179.0,322119.0,121113.0,156693.0,23629.0,2561.0,46615.0,238472519.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,707.190,1.546.548,-,13,23,73,-,-,2.253.847,707190.0,1546548.0,,13.0,23.0,73.0,,,2253847.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,197.167.464,9.913.387,-,103.284,105.481,21.309,1.344,34.744,207.347.013,197167464.0,9913387.0,,103284.0,105481.0,21309.0,1344.0,34744.0,207347013.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",91.953,-,-,-,30.744,-,-,-,122.697,91953.0,,,,30744.0,,,,122697.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,6.054.000,-,-,-,-,-,-,-,6.054.000,6054000.0,,,,,,,,6054000.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,3.269.658,216.945,-,11.630,2.525,13.397,2.226,5.267,3.521.648,3269658.0,216945.0,,11630.0,2525.0,13397.0,2226.0,5267.0,3521648.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,13.760.691,-,-,-,-,-,-,-,13.760.691,13760691.0,,,,,,,,13760691.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,221.050.956,11.676.880,-,114.927,138.773,34.779,3.570,40.011,233.059.896,221050956.0,11676880.0,,114927.0,138773.0,34779.0,3570.0,40011.0,233059896.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,4.866.654,205.299,322.119,6.186,17.920,(11.150),(1.009),6.604,5.412.623,4866654.0,205299.0,322119.0,6186.0,17920.0,-11150.0,-1009.0,6604.0,5412623.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(5.261.282),(4.594.665),-,(121.633),(78.874),11.556,703,(11.823),(10.056.018),-5261282.0,-4594665.0,,-121633.0,-78874.0,11556.0,703.0,-11823.0,-10056018.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(394.628),(4.389.366),322.119,(115.447),(60.954),406,(306),(5.219),(4.643.395),-394628.0,-4389366.0,322119.0,-115447.0,-60954.0,406.0,-306.0,-5219.0,-4643395.0
