row_label_raw,row_label_full,col_0,col_1,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017Triệu VND,numeric__col_1,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2017Triệu VND
09,Những thay đổi về tài sản hoạt động > 09,09,(Tăng)/giảm các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(1.110.027),3.117.958,,-1110027.0,3117958.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(7.820.344),(5.842.557),,-7820344.0,-5842557.0
11,Những thay đổi về tài sản hoạt động > 11,11,Giảm các công cụ tài chính phải sinh và các tài sản tài chính khác,16.065,31.538,,16065.0,31538.0
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(34.477.205),(27.913.910),,-34477205.0,-27913910.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản,(4.643.282),(1.323.014),,-4643282.0,-1323014.0
14,Những thay đổi về tài sản hoạt động > 14,14,(Tăng)/giảm khác về tài sản hoạt động,(560.653),609.748,,-560653.0,609748.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,Giảm các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,(5.178.981),,,-5178981.0
16,Những thay đổi về công nợ hoạt động > 16,16,"Tăng/(giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",13.126.219,(106.568),,13126219.0,-106568.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,34.270.495,31.952.011,,34270495.0,31952011.0
19,Những thay đổi về công nợ hoạt động > 19,19,"Tăng/(giảm) vốn tài trợ, uỷ thác đầu tư, cho vay mà tổ chức tín dụngchịu rủi ro",13.769,(38.981),,13769.0,-38981.0
20,Những thay đổi về công nợ hoạt động > 20,20,Tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,10.491,-,,10491.0,
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,366.386,149.389,,366386.0,149389.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tín dụng,(5.000),(5.038),,-5000.0,-5038.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,4.763.017,(578.860),,4763017.0,-578860.0
