row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2024,Quá hạn,Không chịulãi suất,Dưới1 tháng,Từ 1 đến 3tháng,Từ trên 3đến 6 tháng,Từ trên 6đến 12 tháng,Từ trên 1đến 5 năm,Đơn vị: Triệu đồng > Trên 5 năm,Đơn vị: Triệu đồng > Tổng cộng,numeric__Quá hạn,numeric__Không chịulãi suất,numeric__Dưới1 tháng,numeric__Từ 1 đến 3tháng,numeric__Từ trên 3đến 6 tháng,numeric__Từ trên 6đến 12 tháng,numeric__Từ trên 1đến 5 năm,numeric__Đơn vị: Triệu đồng > Trên 5 năm,numeric__Đơn vị: Triệu đồng > Tổng cộng
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,26.858.932,51.301.819,182.472.219,183.313.538,66.904.498,147.983.863,11.605.684,19.881.096,690.321.649,26858932.0,51301819.0,182472219.0,183313538.0,66904498.0,147983863.0,11605684.0,19881096.0,690321649.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,8.715,183,520,1.041,4.975,-,15.434,,,8715.0,183.0,520.0,1041.0,4975.0,,15434.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,77.068.757,6.544.286,9.247.291,4.224.986,282.511,-,97.367.831,,,77068757.0,6544286.0,9247291.0,4224986.0,282511.0,,97367831.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,243.258,105.931.436,68.163.863,115.018.674,126.166.292,21.981.370,272,437.505.165,,243258.0,105931436.0,68163863.0,115018674.0,126166292.0,21981370.0,272.0,437505165.0
"Vốn tải trợ, ủy thác dấu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tải trợ, ủy thác dấu tư, cho vay mà TCTD chịu rủi ro","Vốn tải trợ, ủy thác dấu tư, cho vay mà TCTD chịu rủi ro",-,-,1.593,2.736.763,-,1.688,13.072,35.327,2.788.443,,,1593.0,2736763.0,,1688.0,13072.0,35327.0,2788443.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,1.113.804,5.693.864,13.282.494,29.403.501,25.866.212,199.869,75.559.744,,,1113804.0,5693864.0,13282494.0,29403501.0,25866212.0,199869.0,75559744.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,18.270.981,-,-,-,-,-,-,18.270.981,,18270981.0,,,,,,,18270981.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,18.514.239,184.124.305,83.138.959,137.548.979,159.797.508,48.148.140,235.468,631.507.598,,18514239.0,184124305.0,83138959.0,137548979.0,159797508.0,48148140.0,235468.0,631507598.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,26.858.932,32.787.580,(1.652.086),100.174.579,(70.644.481),(11.813.645),(36.542.456),19.645.628,58.814.051,26858932.0,32787580.0,-1652086.0,100174579.0,-70644481.0,-11813645.0,-36542456.0,19645628.0,58814051.0
