row_label_raw,row_label_full,CHÍ TIÊU,Mã số,Năm 2023,Năm 2022,numeric__Mã số,numeric__Năm 2023,numeric__Năm 2022
"- Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,(19.485.476.414),(1.050.463.882),12.0,-19485476414.0,-1050463882.0
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,(114.615.195.072),(116.447.439.689),14.0,-114615195072.0,-116447439689.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,(116.889.690.209),(104.777.662.606),15.0,-116889690209.0,-104777662606.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,(321.046.688.546),(1.020.330.299.556),20.0,-321046688546.0,-1020330299556.0
II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,
"1. Tiền chi mua sắm, xây dựng TSCĐ và các TSDH khác","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 1. Tiền chi mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chi mua sắm, xây dựng TSCĐ và các TSDH khác",21,(273.600.000),(1.117.085.147),21.0,-273600000.0,-1117085147.0
"2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","2. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,(860.000.000.000),-,23.0,-860000000000.0,
"3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","3. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,717.500.000.000,2.000.000.000,24.0,717500000000.0,2000000000.0
"4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","4. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,322.782.783.337,306.019.918.848,27.0,322782783337.0,306019918848.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,180.009.183.337,306.902.833.701,30.0,180009183337.0,306902833701.0
III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền thu từ đi vay,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền thu từ đi vay,1. Tiền thu từ đi vay,33,240.000.000.000,699.396.868.062,33.0,240000000000.0,699396868062.0
2. Tiền trả nợ gốc vay,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền trả nợ gốc vay,2. Tiền trả nợ gốc vay,34,(244.524.760.732),(354.072.107.330),34.0,-244524760732.0,-354072107330.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(4.524.760.732),345.324.760.732,40.0,-4524760732.0,345324760732.0
Lưu chuyển tiền thuần trong năm,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,50,(145.562.265.941),(368.102.705.123),50.0,-145562265941.0,-368102705123.0
Tiền và tương đương tiền đầu năm,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,195.704.895.683,563.807.600.806,60.0,195704895683.0,563807600806.0
Tiền và tương đương tiền cuối năm,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,50.142.629.742,195.704.895.683,70.0,50142629742.0,195704895683.0
