row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng côngVND,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng côngVND
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,554.166.284.013,554.166.284.013,,,,,,,554166284013.0,554166284013.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,4.800.000.000,-,228.953.656.846,134.494.920.708,551.801.939.507,7.283.592.015.822,1.981.257.206.635,10.184.899.739.518,4800000000.0,,228953656846.0,134494920708.0,551801939507.0,7283592015822.0,1981257206635.0,10184899739518.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,1.225.246.511.571,988.938.616.263,25.533.329.059.818,11.899.728.380.921,28.177.418.280.108,38.878.070.762.134,78.944.869.588.372,185.647.601.199.187,1225246511571.0,988938616263.0,25533329059818.0,11899728380921.0,28177418280108.0,38878070762134.0,78944869588372.0,185647601199187.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,-,-,130.606.957.051,-,-,130.606.957.051,,,,,130606957051.0,,,130606957051.0
Tiền gửi của và vay từ các TCTD khác,Nợ phải trả > Tiền gửi của và vay từ các TCTD khác,Tiền gửi của và vay từ các TCTD khác,-,-,23.390.212.864.338,4.302.606.599.624,4.226.214.402.131,118.168.012.800,822.448.684,32.038.024.327.577,,,23390212864338.0,4302606599624.0,4226214402131.0,118168012800.0,822448684.0,32038024327577.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,41.359.952.016.993,19.512.357.363.636,34.299.099.033.741,3.660.170.052.153,11.380.256,98.831.589.846.779,,,41359952016993.0,19512357363636.0,34299099033741.0,3660170052153.0,11380256.0,98831589846779.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tin dụng chịu rủi ro",-,-,300.000.000,325.284.175.000,2.176.011.325.000,2.476.411.812.769,18.395.525.500,4.996.402.838.269,,,300000000.0,325284175000.0,2176011325000.0,2476411812769.0,18395525500.0,4996402838269.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,583.650.000.000,-,710.000.000.000,21.335.000.000.000,-,22.628.650.000.000,,,583650000000.0,,710000000000.0,21335000000000.0,,22628650000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,451.395.896.948,496.148.626.006,2.480.895.440.009,656.787.356.519,15.881.245,4.085.243.200.727,,,451395896948.0,496148626006.0,2480895440009.0,656787356519.0,15881245.0,4085243200727.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,-,65.785.510.778.279,24.636.396.764.266,44.022.827.157.932,28.246.537.234.241,19.245.235.685,162.710.517.170.403,,,65785510778279.0,24636396764266.0,44022827157932.0,28246537234241.0,19245235685.0,162710517170403.0
Mức chênh thanh khoản ròng,Nợ phải trả > Mức chênh thanh khoản ròng,Mức chênh thanh khoản ròng,1.225.246.511.571,988.938.616.263,(40.252.181.718.461),(12.736.668.383.345),(15.845.408.877.824),10.631.533.527.893,78.925.624.352.687,22.937.084.028.784,1225246511571.0,988938616263.0,-40252181718461.0,-12736668383345.0,-15845408877824.0,10631533527893.0,78925624352687.0,22937084028784.0
