row_label_raw,row_label_full,col_0,Thuyết minh,Số dư cuối năm VND,Số dư đầu năm VND,numeric__Thuyết minh,numeric__Số dư cuối năm VND,numeric__Số dư đầu năm VND
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,,-,22.540.000.000,,,22540000000.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,-,(19.634.753.450),,,-19634753450.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,554.166.284.013,545.012.116.339,,554166284013.0,545012116339.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,285.125.671.227,272.377.860.252,151.0,285125671227.0,272377860252.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,700.882.375.334,647.867.062.875,,700882375334.0,647867062875.0
Khấu hao tài sản cố định,TÀI SẢN > Khấu hao tài sản cố định,Khấu hao tài sản cố định,,(415.756.704.107),(375.489.202.623),,-415756704107.0,-375489202623.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,269.040.612.786,272.634.256.087,152.0,269040612786.0,272634256087.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,480.888.064.944,447.530.335.527,,480888064944.0,447530335527.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(211.847.452.158),(174.896.079.440),,-211847452158.0,-174896079440.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16,10.180.099.739.518,7.422.826.578.961,16.0,10180099739518.0,7422826578961.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,"16.1, 16.2",8.177.930.446.159,5.612.489.799.981,,8177930446159.0,5612489799981.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.3,1.460.394.782.927,1.519.027.836.647,163.0,1460394782927.0,1519027836647.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.4,546.574.510.432,296.108.942.333,164.0,546574510432.0,296108942333.0
Dự phòng rủi ro cho các tài sản,Dự phòng rủi ro cho các tài sản,Dự phòng rủi ro cho các tài sản,,,,,,
Có nội bằng khác,Dự phòng rủi ro cho các tài sản > Có nội bằng khác,Có nội bằng khác,16.5,(4.800.000.000),(4.800.000.000),165.0,-4800000000.0,-4800000000.0
TỔNG TÀI SẢN,Dự phòng rủi ro cho các tài sản > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,184.514.659.423.627,152.670.864.872.873,,184514659423627.0,152670864872873.0
