row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng cộng VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng cộng VND
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,II. Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,5.220.084.459.294,830.346.013.049,470.034.067.018,-,6.520.464.539.361,5220084459294.0,830346013049.0,470034067018.0,,6520464539361.0
Chi phí dự phòng rủi ro tín dụng,II. Chi phí > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(872.942.899.095),(74.284.734.170),(50.448.882.386),,(997.676.515.651),-872942899095.0,-74284734170.0,-50448882386.0,,-997676515651.0
Kết quả kinh doanh bộ phận trước thuế,II. Chi phí > Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,4.347.141.560.199,756.061.278.879,419.585.184.632,-,5.522.788.023.710,4347141560199.0,756061278879.0,419585184632.0,,5522788023710.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
"1. Tiền mặt, vàng, đá quý","III. Tài sản > 1. Tiền mặt, vàng, đá quý","1. Tiền mặt, vàng, đá quý",503.795.885.702,114.472.642.093,95.287.602.810,-,713.556.130.605,503795885702.0,114472642093.0,95287602810.0,,713556130605.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,471.352.732.937,14.262.913.925,68.550.637.151,-,554.166.284.013,471352732937.0,14262913925.0,68550637151.0,,554166284013.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,156.327.966.140.443,18.600.993.995.646,8.317.976.872.920,-,183.246.937.009.009,156327966140443.0,18600993995646.0,8317976872920.0,,183246937009009.0
Tổng tài sản,III. Tài sản > Tổng tài sản,Tổng tài sản,157.303.114.759.082,18.729.729.551.664,8.481.815.112.881,-,184.514.659.423.627,157303114759082.0,18729729551664.0,8481815112881.0,,184514659423627.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(136.600.030.409.439),(17.973.668.272.786),(8.062.229.928.249),-,(162.635.928.610.474),-136600030409439.0,-17973668272786.0,-8062229928249.0,,-162635928610474.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(7.572.910.659),-,-,-,(7.572.910.659),-7572910659.0,,,,-7572910659.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(67.015.649.270),-,-,-,(67.015.649.270),-67015649270.0,,,,-67015649270.0
Tổng nợ phải trả,IV. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,(136.674.618.969.368),(17.973.668.272.786),(8.062.229.928.249),-,(162.710.517.170.403),-136674618969368.0,-17973668272786.0,-8062229928249.0,,-162710517170403.0
