row_label_raw,row_label_full,08. Chi phí bán hàng (Tiếp theo),Từ ngày 01/06/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/05/2018,numeric__Từ ngày 01/06/2018đến ngày 31/12/2018,numeric__Từ ngày 01/01/2018đến ngày 31/05/2018
- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,10. Thu nhập khác > - Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,- Nhận hỗ trợ từ Quỹ Bảo hiểm xuất khẩu cao su,906.492.386,8.312.820.386,906492386.0,8312820386.0
- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,10. Thu nhập khác > - Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,- Thu nhập từ trồng xen canh cây nông nghiệp trong vườn cao su,6.891.248.033,940.352.898,6891248033.0,940352898.0
- Các khoản khác,10. Thu nhập khác > - Các khoản khác,- Các khoản khác,125.777.505.141,41.882.455.078,125777505141.0,41882455078.0
Cộng,10. Thu nhập khác > Cộng,Cộng,1.716.347.772.328,461.889.976.943,1716347772328.0,461889976943.0
11. Chi phí khác,11. Chi phí khác,11. Chi phí khác,Từ ngày 01/06/2018đến ngày 31/12/2018,Từ ngày 01/01/2018đến ngày 31/05/2018,,
"- Thanh lý, nhượng bán TSCĐ","11. Chi phí khác > - Thanh lý, nhượng bán TSCĐ","- Thanh lý, nhượng bán TSCĐ",80.654.879.905,10.148.801.691,80654879905.0,10148801691.0
- Tiền bồi thường,11. Chi phí khác > - Tiền bồi thường,- Tiền bồi thường,998.994.935,0,998994935.0,0.0
"- Các khoản bị phạt, chậm nộp","11. Chi phí khác > - Các khoản bị phạt, chậm nộp","- Các khoản bị phạt, chậm nộp",5.476.774.704,2.206.254.493,5476774704.0,2206254493.0
"- Nhượng bán vật tư, phế liệu","11. Chi phí khác > - Nhượng bán vật tư, phế liệu","- Nhượng bán vật tư, phế liệu",980.973.234,29.960.957,980973234.0,29960957.0
- Chi phí sửa chữa đường lô và hoàn nguyên vườn cây cao su,11. Chi phí khác > - Chi phí sửa chữa đường lô và hoàn nguyên vườn cây cao su,- Chi phí sửa chữa đường lô và hoàn nguyên vườn cây cao su,209.608.000,0,209608000.0,0.0
- Chi phí thiệt hại từ cây cao su,11. Chi phí khác > - Chi phí thiệt hại từ cây cao su,- Chi phí thiệt hại từ cây cao su,1.098.751.263,19.818.231.588,1098751263.0,19818231588.0
"- Chi phí thiệt hai từ vận chuyển, chế biến mù không tính vào giá thành","11. Chi phí khác > - Chi phí thiệt hai từ vận chuyển, chế biến mù không tính vào giá thành","- Chi phí thiệt hai từ vận chuyển, chế biến mù không tính vào giá thành",428.789.968,0,428789968.0,0.0
- Các khoản khác,11. Chi phí khác > - Các khoản khác,- Các khoản khác,49.302.099.871,144.520.646.889,49302099871.0,144520646889.0
Cộng,11. Chi phí khác > Cộng,Cộng,139.150.871.880,176.723.895.618,139150871880.0,176723895618.0
