row_label_raw,row_label_full,02. Đầu tư tài chính (Tiếp theo),31/12/2018 > Giá gốc,31/12/2018 > Điều chỉnh theo phương pháp VCSH,31/12/2018 > Giá trị hợp lý,01/06/2018 > Giá gốc,01/06/2018 > Điều chỉnh theo phương pháp VCSH,01/06/2018 > Giá trị hợp lý,numeric__31/12/2018 > Giá gốc,numeric__31/12/2018 > Điều chỉnh theo phương pháp VCSH,numeric__31/12/2018 > Giá trị hợp lý,numeric__01/06/2018 > Giá gốc,numeric__01/06/2018 > Điều chỉnh theo phương pháp VCSH,numeric__01/06/2018 > Giá trị hợp lý
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,8.749.737.281,(1.062.349.619),7.687.387.662,8.749.737.281,(271.186.165),8.478.551.116,8749737281.0,-1062349619.0,7687387662.0,8749737281.0,-271186165.0,8478551116.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,95.141.496.684,(4.223.301.332),90.918.195.352,95.141.496.684,(4.470.288.699),90.671.207.985,95141496684.0,-4223301332.0,90918195352.0,95141496684.0,-4470288699.0,90671207985.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,9.768.852.055,477.271.250,10.246.123.305,9.768.852.055,336.711.149,10.105.563.204,9768852055.0,477271250.0,10246123305.0,9768852055.0,336711149.0,10105563204.0
Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,Công ty Cổ phần Đầu tư và Phát triển VRG Long Thành,33.028.561.253,29.388.653.023,62.417.214.276,33.028.561.253,19.713.110.392,52.741.671.645,33028561253.0,29388653023.0,62417214276.0,33028561253.0,19713110392.0,52741671645.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,57.073.701.000,39.172.941.930,96.246.642.930,57.073.701.000,39.625.195.910,96.698.896.910,57073701000.0,39172941930.0,96246642930.0,57073701000.0,39625195910.0,96698896910.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,36.000.000.000,0,36.000.000.000,36.000.000.000,0,36.000.000.000,36000000000.0,0.0,36000000000.0,36000000000.0,0.0,36000000000.0
Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,Công ty Cổ phần Phú Việt Tín,12.500.000.000,257.590.378,12.757.590.378,12.500.000.000,2.682.726.242,15.182.726.242,12500000000.0,257590378.0,12757590378.0,12500000000.0,2682726242.0,15182726242.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,4.176.773.239,(93.036.072),4.083.737.167,4.176.773.239,(93.036.072),4.083.737.167,4176773239.0,-93036072.0,4083737167.0,4176773239.0,-93036072.0,4083737167.0
Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,Công ty Cổ phần Chi sợi Cao su V.R.G SA DO,150.850.230.247,(96.810.175.141),54.040.055.106,150.850.230.247,(80.749.762.804),70.100.467.443,150850230247.0,-96810175141.0,54040055106.0,150850230247.0,-80749762804.0,70100467443.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,8.086.578.953,400.308.117,8.486.887.070,8.086.578.953,84.650.278,8.171.229.231,8086578953.0,400308117.0,8486887070.0,8086578953.0,84650278.0,8171229231.0
