row_label_raw,row_label_full,col_0,Nhà xuống và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị quản lý,Tài sản khác,Tổng cộng,numeric__Nhà xuống và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị quản lý,numeric__Tài sản khác,numeric__Tổng cộng
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,21.983.361.433,2.384.902.334.238,15.931.135.685,370.232.780.025,11.169.403.947,2.804.219.015.328,21983361433.0,2384902334238.0,15931135685.0,370232780025.0,11169403947.0,2804219015328.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,(492.395.602),921.154.948.549,(6.275.816.548),(158.902.211.650),(11.169.403.947),744.315.120.802,-492395602.0,921154948549.0,-6275816548.0,-158902211650.0,-11169403947.0,744315120802.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,2.615.869.416,724.496.335.226,1.128.114.118,16.074.802.042,-,744.315.120.802,2615869416.0,724496335226.0,1128114118.0,16074802042.0,,744315120802.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,(3.108.265.018),196.658.613.323,(7.403.930.666),(174.977.013.692),(11.169.403.947),-,-3108265018.0,196658613323.0,-7403930666.0,-174977013692.0,-11169403947.0,
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,870.082.053.171,1.891.596.955,12.246.735.366,-,884.220.385.492,,870082053171.0,1891596955.0,12246735366.0,,884220385492.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,1.891.596.955,-,-,1.891.596.955,,,1891596955.0,,,1891596955.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,-,-,-,57.001.292,-,57.001.292,,,,57001292.0,,57001292.0
Thu hồi nhập kho,GIÁ TRỊ HAO MÒN LỦY KẾ > Thu hồi nhập kho,Thu hồi nhập kho,-,111.931.297.223,-,12.189.734.074,-,124.121.031.297,,111931297223.0,,12189734074.0,,124121031297.0
Giảm do chuyển đổi hạ tầng,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do chuyển đổi hạ tầng,Giảm do chuyển đổi hạ tầng,-,758.150.755.948,-,-,-,758.150.755.948,,758150755948.0,,,,758150755948.0
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,21.490.965.831,2.435.975.229.616,7.763.722.182,199.083.833.009,-,2.664.313.750.638,21490965831.0,2435975229616.0,7763722182.0,199083833009.0,,2664313750638.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,48.591.110.978,2.642.425.476.283,20.377.554.789,227.362.921.088,13.796.093.569,2.952.553.156.707,48591110978.0,2642425476283.0,20377554789.0,227362921088.0,13796093569.0,2952553156707.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,39.819.394.450,2.860.155.602.851,4.340.712.670,65.921.002.716,-,2.970.236.712.687,39819394450.0,2860155602851.0,4340712670.0,65921002716.0,,2970236712687.0
