row_label_raw,row_label_full,TÀI SẢN,Mã số,Số cuối năm,Số đầu năm,numeric__Mã số,numeric__Số cuối năm,numeric__Số đầu năm
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,(157.135.279.453),(119.908.443.311),229.0,-157135279453.0,-119908443311.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,3.772.657.195,201.319.870.575,240.0,3772657195.0,201319870575.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,3.772.657.195,201.319.870.575,242.0,3772657195.0,201319870575.0
IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,IV. Các khoản đầu tư tài chính dài hạn,250,261.815.986.544,256.306.987.671,250.0,261815986544.0,256306987671.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,258.226.317.955,263.457.441.356,251.0,258226317955.0,263457441356.0
2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,2. Đầu tư góp vốn vào đơn vị khác,253,6.000.000.000,6.000.000.000,253.0,6000000000.0,6000000000.0
3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,3. Dự phòng đầu tư tài chính dài hạn,254,(2.410.331.411),(13.150.453.685),254.0,-2410331411.0,-13150453685.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,361.292.099.318,396.870.362.517,260.0,361292099318.0,396870362517.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,339.559.600.591,347.181.102.590,261.0,339559600591.0,347181102590.0
2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,2. Tài sản thuê thu nhập hoãn lại,262,21.732.498.727,49.689.259.927,262.0,21732498727.0,49689259927.0
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),TỔNG CỘNG TÀI SẢN (270 = 100 + 200),270,10.013.746.494.733,10.602.618.367.477,270.0,10013746494733.0,10602618367477.0
