row_label_raw,row_label_full,Bên liên quan,Giao dịch,Phải thu/(phải trả),Phải thu/(phải trả)_1,Phải thu/(phải trả)_2,Phải thu/(phải trả)_3,Doanh thu/(chi phi)VND,numeric__Giao dịch,numeric__Phải thu/(phải trả),numeric__Phải thu/(phải trả)_1,numeric__Phải thu/(phải trả)_2,numeric__Phải thu/(phải trả)_3,numeric__Doanh thu/(chi phi)VND
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Mua trải phiếu,-,(150.000.000.000),-,(150.000.000.000),-,,,-150000000000.0,,-150000000000.0,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Giao dịch mua bán chứng khoán,-,530.636.615.125,(530.636.615.125),-,-,,,530636615125.0,-530636615125.0,,
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Lãi trải phiếu,-,(11.821.666.667),-,(11.821.666.667),(11.821.666.667),,,-11821666667.0,,-11821666667.0,-11821666667.0
Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty Cổ phầnĐầu tư Đường MặtTrời,Công ty Cổ phầnĐầu tư Đường MặtTrời,Phí ký quỹ,-,5.428.852.635,(5.428.852.635),-,5.428.852.635,,,5428852635.0,-5428852635.0,,5428852635.0
Công ty TNHH Đầu tư NDH,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Phi giao dịch chứng khoán và ứngtrước tiền bản chứng khoán,-,1.372.198.713,(1.372.198.713),-,1.372.198.713,,,1372198713.0,-1372198713.0,,1372198713.0
Công ty TNHH Đầu tư NDH,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH Đầu tư NDH,Công ty TNHH Đầu tư NDH,Phí dịch vụ,-,3.154.079.753,(3.154.079.753),-,2.867.345.230,,,3154079753.0,-3154079753.0,,2867345230.0
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,"Phí ứng trước tiền bản chứng khoán,phi lưu ký và phi giao dịch",-,351.895.008,(351.895.008),-,351.895.008,,,351895008.0,-351895008.0,,351895008.0
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Phải thu kí quỹ,-,49.662.603.382,(49.662.603.382),-,-,,,49662603382.0,-49662603382.0,,
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Phí kí quỹ,-,638.852.601,(638.852.601),-,638.852.601,,,638852601.0,-638852601.0,,638852601.0
Công ty TNHH Sài Gòn Đan Linh,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH Sài Gòn Đan Linh,Công ty TNHH Sài Gòn Đan Linh,Phí dịch vụ,-,6.590.101.388,(6.590.101.388),-,5.991.001.262,,,6590101388.0,-6590101388.0,,5991001262.0
Công ty TNHH MTVNguyễn Sài Gòn,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Phải thu giao dịch ký quỹ,818.336.672,12.786.466.668,(13.604.803.340),-,-,,818336672.0,12786466668.0,-13604803340.0,,
Công ty TNHH MTVNguyễn Sài Gòn,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Phí ký quỹ,-,15.823.205,(15.823.205),-,15.823.205,,,15823205.0,-15823205.0,,15823205.0
Công ty TNHH MTVNguyễn Sài Gòn,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,"Phí giao dịch, phí lưu ký và phi ứngtrước tiền bản chứng khoán",-,574.842.703,(574.842.703),-,574.842.703,,,574842703.0,-574842703.0,,574842703.0
Công ty TNHH MTVNguyễn Sài Gòn,Công ty Cổ phầnĐầu tư Đường MặtTrời > Công ty TNHH MTVNguyễn Sài Gòn,Công ty TNHH MTVNguyễn Sài Gòn,Phí dịch vụ,-,2.190.894.444,(2.190.894.444),-,1.991.722.221,,,2190894444.0,-2190894444.0,,1991722221.0
