row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,"Thiết bị,dụng cụ quản lýVND",Tài sảncó định khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,"numeric__Thiết bị,dụng cụ quản lýVND",numeric__Tài sảncó định khácVND,numeric__Tổng cộngVND
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.186.202.295.321,45.835.708.873,268.508.231.080,63.907.914.798,463.836.364,1.564.917.986.436,1186202295321.0,45835708873.0,268508231080.0,63907914798.0,463836364.0,1564917986436.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,(56.186.818.972),(18.859.144.158),(63.204.041.014),(37.429.688.870),(246.427.841),(175.926.120.855),-56186818972.0,-18859144158.0,-63204041014.0,-37429688870.0,-246427841.0,-175926120855.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(30.918.605.320),(7.199.535.379),(26.799.207.929),(13.724.282.490),(40.786.887),(78.682.418.005),-30918605320.0,-7199535379.0,-26799207929.0,-13724282490.0,-40786887.0,-78682418005.0
Chuyển từ bất động sản đầu tư(Thuyết minh 15),Giá trị khấu hao lũy kế > Chuyển từ bất động sản đầu tư(Thuyết minh 15),Chuyển từ bất động sản đầu tư(Thuyết minh 15),(416.533.398),-,-,-,-,(416.533.398),-416533398.0,,,,,-416533398.0
"Thanh lý, nhượng bán","Giá trị khấu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,152.124.332,74.226.832,726.852.197,58.272.727,1.011.476.088,,152124332.0,74226832.0,726852197.0,58272727.0,1011476088.0
Tăng do mua công ty con,Giá trị khấu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,-,-,-,-,(40.375.000),(40.375.000),,,,,-40375000.0,-40375000.0
Phân loại lại,Giá trị khấu hao lũy kế > Phân loại lại,Phân loại lại,-,(11.721.952),-,11.721.952,-,-,,-11721952.0,,11721952.0,,
Giảm do thoái hóa vốn công ty con,Giá trị khấu hao lũy kế > Giảm do thoái hóa vốn công ty con,Giảm do thoái hóa vốn công ty con,20.223.988.091,6.484.488.236,858.552.466,6.604.958.962,29.105.637,34.201.093.392,20223988091.0,6484488236.0,858552466.0,6604958962.0,29105637.0,34201093392.0
Tại ngày 31 tháng 12 năm 2021,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,(67.297.969.599),(19.433.788.921),(89.070.469.645),(43.810.438.249),(240.211.364),(219.852.877.778),-67297969599.0,-19433788921.0,-89070469645.0,-43810438249.0,-240211364.0,-219852877778.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,861.502.819.007,43.860.308.459,160.275.146.360,36.069.165.261,206.711.250,1.101.914.150.337,861502819007.0,43860308459.0,160275146360.0,36069165261.0,206711250.0,1101914150337.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.118.904.325.722,26.401.919.952,179.437.761.435,20.097.476.549,223.625.000,1.345.065.108.658,1118904325722.0,26401919952.0,179437761435.0,20097476549.0,223625000.0,1345065108658.0
