row_label_raw,row_label_full,col_0,Số liệu được trình bày trước đây,Ảnh hưởng của điều chỉnh hoặc phân loại,Ảnh hưởng của điều chỉnh hoặc phân loại_1,VND Số liệu trình bày lại,numeric__Số liệu được trình bày trước đây,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại,numeric__Ảnh hưởng của điều chỉnh hoặc phân loại_1,numeric__VND Số liệu trình bày lại
Hàng tồn kho,Tài sản ngắn hạn > Hàng tồn kho,Hàng tồn kho,2.343.303.696.147,(91.826.909.495),222.515.343.436,2.473.992.130.088,2343303696147.0,-91826909495.0,222515343436.0,2473992130088.0
Dự phòng giảm giá hàng tồn kho,Tài sản ngắn hạn > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(46.447.532.540),(11.500.000.000),-,(57.947.532.540),-46447532540.0,-11500000000.0,,-57947532540.0
Thuế giá trị gia tăng được khấu trừ,Tài sản ngắn hạn > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,1.995.708.992,61.221.666,22.302.456.300,24.359.386.958,1995708992.0,61221666.0,22302456300.0,24359386958.0
Thuế và các khoản khác phải thu Nhà nước,Tài sản ngắn hạn > Thuế và các khoản khác phải thu Nhà nước,Thuế và các khoản khác phải thu Nhà nước,23.793.262.951,-,(22.302.456.300),1.490.806.651,23793262951.0,,-22302456300.0,1490806651.0
Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,Tài sản dài hạn,,,,
Phải thu về cho vay dài hạn,Tài sản dài hạn > Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,-,-,28.920.848.000,28.920.848.000,,,28920848000.0,28920848000.0
Phải thu dài hạn khác,Tài sản dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,17.977.996.219,-,(16.998.156.923),979.839.296,17977996219.0,,-16998156923.0,979839296.0
Dự phòng phải thu dài hạn khó đòi,Tài sản dài hạn > Dự phòng phải thu dài hạn khó đòi,Dự phòng phải thu dài hạn khó đòi,(5.016.089.992),-,(6.243.635.221),(11.259.725.213),-5016089992.0,,-6243635221.0,-11259725213.0
Nguyên giá tài sản cố định hữu hình,Tài sản dài hạn > Nguyên giá tài sản cố định hữu hình,Nguyên giá tài sản cố định hữu hình,689.227.919.995,-,11.227.543.933,700.455.463.928,689227919995.0,,11227543933.0,700455463928.0
Giá trị hao mòn lũy kế tài sản cố định vô hình,Tài sản dài hạn > Giá trị hao mòn lũy kế tài sản cố định vô hình,Giá trị hao mòn lũy kế tài sản cố định vô hình,(6.049.610.815),(3.658.878.509),(20.353.152),(9.728.842.476),-6049610815.0,-3658878509.0,-20353152.0,-9728842476.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Tài sản dài hạn > Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",189.015.343.436,-,(189.015.343.436),-,189015343436.0,,-189015343436.0,
Chi phí xây dựng cơ bản dở dang,Tài sản dài hạn > Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,68.302.888.753,-,(43.995.619.243),24.307.269.510,68302888753.0,,-43995619243.0,24307269510.0
"Đầu tư vào công ty liên doanh, liên kết","Tài sản dài hạn > Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",113.003.340.589,(1.811.436.777),82.680.000.000,193.871.903.812,113003340589.0,-1811436777.0,82680000000.0,193871903812.0
Đầu tư góp vốn vào đơn vị khác,Tài sản dài hạn > Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,58.509.784.766,30.000.000.000,(88.230.000.000),279.784.766,58509784766.0,30000000000.0,-88230000000.0,279784766.0
Dự phòng giảm giá đầu tư tài chính dài hạn,Tài sản dài hạn > Dự phòng giảm giá đầu tư tài chính dài hạn,Dự phòng giảm giá đầu tư tài chính dài hạn,(563.773.954),563.773.954,-,-,-563773954.0,563773954.0,,
Đầu tư nằm giữ đến ngày đáo hạn,Tài sản dài hạn > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,8.732.000.000,-,(8.732.000.000),-,8732000000.0,,-8732000000.0,
Chi phí trả trước dài hạn,Tài sản dài hạn > Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,94.658.561.371,(1.068.049.059),(1.040.466.809),92.550.045.503,94658561371.0,-1068049059.0,-1040466809.0,92550045503.0
Tài sản thuế thu nhập hoãn lại,Tài sản dài hạn > Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,5.311.847.733,(5.311.847.733),-,-,5311847733.0,-5311847733.0,,
