row_label_raw,row_label_full,col_0,Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),Tăng trong năm,Giảm trong năm,Chênh lệchtỷ giá hối đoái/phân loại lại,VNDSố cuối năm,numeric__Số đầu năm(Đã điều chỉnh lại –Thuyết minh số 33),numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Chênh lệchtỷ giá hối đoái/phân loại lại,numeric__VNDSố cuối năm
,,,,,,Số cuối năm,VNDSố đầu năm,,,,,
"Ngân hàng Thương mại Cổ phần Việt Á, Chi nhánh Bình Dương (""Việt Á, CN Bình Dương"")","21.1 Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Việt Á, Chi nhánh Bình Dương (""Việt Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Việt Á, Chi nhánh Bình Dương (""Việt Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Việt Á, Chi nhánh Bình Dương (""Việt Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Việt Á, Chi nhánh Bình Dương (""Việt Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Việt Á, Chi nhánh Bình Dương (""Việt Á, CN Bình Dương"")",550.118.684.626,627.056.725.644,,,,550118684626.0,627056725644.0
"Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Đông Á, CN Bình Dương"")","21.1 Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Đông Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Đông Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Đông Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Đông Á, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Đông Á, Chi nhánh Bình Dương (""Đông Á, CN Bình Dương"")",124.292.700.000,161.996.412.654,,,,124292700000.0,161996412654.0
"Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội, Chi nhánh Phú Nhuận (""SHB, CN Phú Nhuận"")","21.1 Vay ngắn hạn ngân hàng > Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội, Chi nhánh Phú Nhuận (""SHB, CN Phú Nhuận"")","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội, Chi nhánh Phú Nhuận (""SHB, CN Phú Nhuận"")","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội, Chi nhánh Phú Nhuận (""SHB, CN Phú Nhuận"")","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội, Chi nhánh Phú Nhuận (""SHB, CN Phú Nhuận"")","Ngân hàng Thương mại Cổ phần Sài Gòn - Hà Nội, Chi nhánh Phú Nhuận (""SHB, CN Phú Nhuận"")",56.846.909.438,72.378.784.438,,,,56846909438.0,72378784438.0
"Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"")",-,-,,,,,
"Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kiên Long, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"") > Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kiên Long, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kiên Long, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kiên Long, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kiên Long, CN Bình Dương"")","Ngân hàng Thương mại Cổ phần Kiên Long, Chi nhánh Bình Dương (""Kiên Long, CN Bình Dương"")",59.980.000.000,59.980.000.000,,,,59980000000.0,59980000000.0
"Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"") > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")","Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")",3.772.000.000,3.772.000.000,,,,3772000000.0,3772000000.0
"Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (""VDB, CN Đắk Lắk – Đắk Nông"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"") > Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (""VDB, CN Đắk Lắk – Đắk Nông"")","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (""VDB, CN Đắk Lắk – Đắk Nông"")","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (""VDB, CN Đắk Lắk – Đắk Nông"")","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (""VDB, CN Đắk Lắk – Đắk Nông"")","Ngân hàng Phát triển Việt Nam, Chi nhánh Đắk Lắk – Đắk Nông (""VDB, CN Đắk Lắk – Đắk Nông"")",10.375.455.322,14.375.455.322,,,,10375455322.0,14375455322.0
"Ngân hàng Nông nghiệp và Phát triển Nông thôn, chi nhánh Thành phố Buôn Ma Thuột (""Agribank, CN BMT"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"") > Ngân hàng Nông nghiệp và Phát triển Nông thôn, chi nhánh Thành phố Buôn Ma Thuột (""Agribank, CN BMT"")","Ngân hàng Nông nghiệp và Phát triển Nông thôn, chi nhánh Thành phố Buôn Ma Thuột (""Agribank, CN BMT"")","Ngân hàng Nông nghiệp và Phát triển Nông thôn, chi nhánh Thành phố Buôn Ma Thuột (""Agribank, CN BMT"")","Ngân hàng Nông nghiệp và Phát triển Nông thôn, chi nhánh Thành phố Buôn Ma Thuột (""Agribank, CN BMT"")","Ngân hàng Nông nghiệp và Phát triển Nông thôn, chi nhánh Thành phố Buôn Ma Thuột (""Agribank, CN BMT"")",25.003.000.000,50.141.000.000,,,,25003000000.0,50141000000.0
"Ngân hàng Việt Á, chi nhánh Thành phố Buôn Ma Thuột (""Việt Á, CN BMT"")","Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"") > Ngân hàng Việt Á, chi nhánh Thành phố Buôn Ma Thuột (""Việt Á, CN BMT"")","Ngân hàng Việt Á, chi nhánh Thành phố Buôn Ma Thuột (""Việt Á, CN BMT"")","Ngân hàng Việt Á, chi nhánh Thành phố Buôn Ma Thuột (""Việt Á, CN BMT"")","Ngân hàng Việt Á, chi nhánh Thành phố Buôn Ma Thuột (""Việt Á, CN BMT"")","Ngân hàng Việt Á, chi nhánh Thành phố Buôn Ma Thuột (""Việt Á, CN BMT"")",103.280.240.824,114.469.717.674,,,,103280240824.0,114469717674.0
TỔNG CỘNG,"Ngân hàng Thương mại Cổ phần Công Thương Việt Nam, Chi nhánh Thành phố Hồ Chí Minh(""Vietinbank, CN TP.HCM"") > TỔNG CỘNG",TỔNG CỘNG,,,,933.668.990.210,1.104.170.095.732,,,,933668990210.0,1104170095732.0
