row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Dụng cụ văn phòng VND,Vật nuôi VND,Tài sản cố định khác VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Dụng cụ văn phòng VND,numeric__Vật nuôi VND,numeric__Tài sản cố định khác VND,numeric__Tổng cộng VND
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,3.472.712.209.812,12.866.683.330.898,685.911.128.704,88.058.794.400,192.340.852.352,3.074.904.269,17.308.781.220.435,3472712209812.0,12866683330898.0,685911128704.0,88058794400.0,192340852352.0,3074904269.0,17308781220435.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,1.588.219.448.227,4.057.211.663.238,308.288.793.334,33.267.316.557,30.903.466.539,1.264.924.297,6.019.155.612.192,1588219448227.0,4057211663238.0,308288793334.0,33267316557.0,30903466539.0,1264924297.0,6019155612192.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,(356.534.808.213),(390.702.831.568),(42.388.023.984),(4.487.958.694),-,-,(794.113.622.459),-356534808213.0,-390702831568.0,-42388023984.0,-4487958694.0,,,-794113622459.0
Chuyển sang chi phí trả trước dài hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(1.699.210.961),(220.357.100),(96.157.669),-,-,-,(2.015.725.730),-1699210961.0,-220357100.0,-96157669.0,,,,-2015725730.0
Thanh lý và xóa số,Giá trị hao mòn lũy kế > Thanh lý và xóa số,Thanh lý và xóa số,(2.533.114.366),(133.211.801.498),(15.199.145.906),(1.139.633.967),(91.565.111.454),(328.630.770),(243.977.437.961),-2533114366.0,-133211801498.0,-15199145906.0,-1139633967.0,-91565111454.0,-328630770.0,-243977437961.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(232.988.187),224.347.759,34.945.805,-,-,(26.305.377),-,-232988187.0,224347759.0,34945805.0,,,-26305377.0,
Biến động khác,Giá trị hao mòn lũy kế > Biến động khác,Biến động khác,(5.298.153.217),(551.823.692),-,-,-,-,(5.849.976.909),-5298153217.0,-551823692.0,,,,,-5849976909.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.694.633.383.095,16.399.432.528.037,936.551.540.284,115.698.518.296,131.679.207.437,3.984.892.419,22.281.980.069.568,4694633383095.0,16399432528037.0,936551540284.0,115698518296.0,131679207437.0,3984892419.0,22281980069568.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,27.575.687.109.404,36.378.358.996.931,1.209.048.505.059,65.385.043.040,73.929.730.111,5.410.492.998,65.307.819.877.543,27575687109404.0,36378358996931.0,1209048505059.0,65385043040.0,73929730111.0,5410492998.0,65307819877543.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,27.590.091.408.674,38.346.991.415.914,2.725.304.070.124,73.550.280.615,4.457.329.704,3.731.434.078,68.744.125.939.109,27590091408674.0,38346991415914.0,2725304070124.0,73550280615.0,4457329704.0,3731434078.0,68744125939109.0
