row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy móc thiết bị,"Phương tiện vântải, truyền dẫn","Thiết bị, dụng cụquản lý",TSCĐ hữu hìnhkhác,Cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy móc thiết bị,"numeric__Phương tiện vântải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__TSCĐ hữu hìnhkhác,numeric__Cộng
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,153.455.811.422,138.367.899.906,15.466.954.530,1.926.705.153,4.743.450.386,313.960.821.397,153455811422.0,138367899906.0,15466954530.0,1926705153.0,4743450386.0,313960821397.0
Số tăng trong năm,Giá trị hao mòn lũy kế > Số tăng trong năm,Số tăng trong năm,55.127.023.211,22.747.111.456,2.627.111.402,160.682.490,951.761.372,81.613.689.931,55127023211.0,22747111456.0,2627111402.0,160682490.0,951761372.0,81613689931.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,39.017.895.120,20.005.242.800,2.627.111.402,154.642.494,951.761.372,62.756.653.188,39017895120.0,20005242800.0,2627111402.0,154642494.0,951761372.0,62756653188.0
- Tăng do hợp nhất Fafim Việt Nam,Giá trị hao mòn lũy kế > - Tăng do hợp nhất Fafim Việt Nam,- Tăng do hợp nhất Fafim Việt Nam,16.109.128.091,2.741.868.656,-,6.039.996,-,18.857.036.743,16109128091.0,2741868656.0,,6039996.0,,18857036743.0
- Chuyển từ Đầu tư dài hạn khác,Giá trị hao mòn lũy kế > - Chuyển từ Đầu tư dài hạn khác,- Chuyển từ Đầu tư dài hạn khác,18.033.014.693,-,-,-,-,18.033.014.693,18033014693.0,,,,,18033014693.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,-,238.616.469,41.887.552,-,-,280.504.021,,238616469.0,41887552.0,,,280504021.0
Số giảm trong năm,Giá trị hao mòn lũy kế > Số giảm trong năm,Số giảm trong năm,(962.015.771),(34.023.244.623),(3.743.682.082),(340.646.223),-,(39.069.588.699),-962015771.0,-34023244623.0,-3743682082.0,-340646223.0,,-39069588699.0
- Giảm do thoái vốn Công ty con,Giá trị hao mòn lũy kế > - Giảm do thoái vốn Công ty con,- Giảm do thoái vốn Công ty con,-,(33.002.494.750),(1.918.348.263),(209.496.657),-,(35.130.339.670),,-33002494750.0,-1918348263.0,-209496657.0,,-35130339670.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(812.661.316),(1.020.749.873),(1.825.333.819),-,-,(3.658.745.008),-812661316.0,-1020749873.0,-1825333819.0,,,-3658745008.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,(149.354.455),-,-,(131.149.566),-,(280.504.021),-149354455.0,,,-131149566.0,,-280504021.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,225.653.833.555,127.330.383.208,14.392.271.402,1.746.741.420,5.695.211.758,374.818.441.343,225653833555.0,127330383208.0,14392271402.0,1746741420.0,5695211758.0,374818441343.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,603.246.203.970,87.453.009.165,11.122.822.086,506.734.797,2.045.450.770,704.374.220.788,603246203970.0,87453009165.0,11122822086.0,506734797.0,2045450770.0,704374220788.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.141.559.014.499,132.615.118.542,13.330.655.258,1.144.727.365,1.601.772.208,1.290.251.287.872,1141559014499.0,132615118542.0,13330655258.0,1144727365.0,1601772208.0,1290251287872.0
