row_label_raw,row_label_full,Mã số CHỈ TIÊU,Mã số CHỈ TIÊU_1,Thuyết minh,Năm 2016 > VND,Năm 2015 > VND,numeric__Mã số CHỈ TIÊU_1,numeric__Thuyết minh,numeric__Năm 2016 > VND,numeric__Năm 2015 > VND
11,01 > 11,11,"- Tăng/giảm các khoản phải trả (không kể lãi vay phải trả, thuế TNDN phải nộp)",,(17.779.070.884),(2.535.229.252.090),,,-17779070884.0,-2535229252090.0
12,01 > 12,12,- Tăng/giảm chi phí trả trước,,(51.424.448.177),6.237.349.829,,,-51424448177.0,6237349829.0
13,01 > 13,13,- Tăng/giảm chứng khoán kinh doanh,,52.621.800.000,,,,52621800000.0,
14,01 > 14,14,- Tiền lãi vay đã trả,,(28.926.241.575),(178.376.674.234),,,-28926241575.0,-178376674234.0
15,01 > 15,15,- Thuế thu nhập doanh nghiệp đã nộp,,(46.765.316.017),(67.520.708.045),,,-46765316017.0,-67520708045.0
17,01 > 17,17,- Tiền chi khác cho hoạt động kinh doanh,,(4.214.251.829),(166.699.479.616),,,-4214251829.0,-166699479616.0
20,01 > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,66.197.422.248,(2.169.632.991.091),,,66197422248.0,-2169632991091.0
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(29.401.631.388),(30.735.071.231),,,-29401631388.0,-30735071231.0
22,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 22,22,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,1.531.043.909,14.459.305.017,,,1531043909.0,14459305017.0
23,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(74.837.536.927),35.771.300.000,,,-74837536927.0,35771300000.0
24,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,68.188.092.483,,,,68188092483.0,
25,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,(23.428.000.000),,,,-23428000000.0
26,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,48.705.923.000,2.223.837.713.777,,,48705923000.0,2223837713777.0
27,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 27,27,"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",,17.601.768.215,3.101.229.597,,,17601768215.0,3101229597.0
30,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,31.787.659.292,2.223.006.477.149,,,31787659292.0,2223006477149.0
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
34,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,4. Tiền trả nợ gốc vay,,(133.731.647.432),(52.703.256.306),,,-133731647432.0,-52703256306.0
40,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,(133.731.647.432),(52.703.256.306),,,-133731647432.0,-52703256306.0
50,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,(35.746.565.892),670.229.759,,,-35746565892.0,670229759.0
60,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,,239.450.141.907,238.779.912.198,,,239450141907.0,238779912198.0
70,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,,203.703.556.015,239.450.141.907,,,203703556015.0,239450141907.0
