row_label_raw,row_label_full,Doanh thu tài chính,Doanh thu tài chính_1,Doanh thu tài chính_2,Doanh thu tài chính_3,numeric__Doanh thu tài chính_1,numeric__Doanh thu tài chính_2,numeric__Doanh thu tài chính_3
Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Phải thu cho vay ngắn hạn > Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Bên liên quan khác,2.020.000.000,2.020.000.000,,2020000000.0,2020000000.0
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,
Công ty Cổ phần Chứng khoán Đại Dương,Phải thu ngắn hạn khác > Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Bên liên kết,61.000.000,61.000.000,,61000000.0,61000000.0
Công ty TNHH VNT,Phải thu ngắn hạn khác > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,506.716.659.258,509.515.839.258,,506716659258.0,509515839258.0
Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Công ty Cổ phần Đầu tư BOT Hà Nội - Bắc Giang,Bên liên kết,1.191.259.494,1.191.259.494,,1191259494.0,1191259494.0
Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Phải thu ngắn hạn khác > Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Công ty Cổ phần Phát triển thương mại dịch vụ Hà Thành,Bên liên quan khác,409.169.994,409.169.994,,409169994.0,409169994.0
Hà Trọng Nam,Phải thu ngắn hạn khác > Hà Trọng Nam,Hà Trọng Nam,Bên liên quan khác,128.161.447.928,128.161.447.928,,128161447928.0,128161447928.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,
Hà Trọng Nam,Phải thu dài hạn khác > Hà Trọng Nam,Hà Trọng Nam,Bên liên quan khác,500.000.000.000,500.000.000.000,,500000000000.0,500000000000.0
Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,Trả trước cho người bán dài hạn,,,
Công ty TNHH VNT,Trả trước cho người bán dài hạn > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,528.016.082.500,528.016.082.500,,528016082500.0,528016082500.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,
Công ty Cổ phần Chứng khoán Đại Dương,Phải trả người bán ngắn hạn > Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Bên liên kết,162.295.007,162.295.007,,162295007.0,162295007.0
Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,,,
Công ty TNHH VNT,Người mua trả tiền trước ngắn hạn > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,220.000.000.000,220.000.000.000,,220000000000.0,220000000000.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,,,
Công ty TNHH VNT,Phải trả ngắn hạn khác > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,72.000.000.000,72.000.000.000,,72000000000.0,72000000000.0
Công ty Cổ phần Chứng khoán Đại Dương,Phải trả ngắn hạn khác > Công ty Cổ phần Chứng khoán Đại Dương,Công ty Cổ phần Chứng khoán Đại Dương,Bên liên kết,55.569.596,,,55569596.0,
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,,,
Công ty TNHH VNT,Chi phí phải trả > Công ty TNHH VNT,Công ty TNHH VNT,Bên liên quan khác,1.640.966.241,1.568.231.64,,1640966241.0,156823164.0
Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,Giao dịch với các bên liên quan khác như sau:,,,
,,,,Năm 2016,Năm 2016,,,
,,,,VND,VND,,,
,,,,4.599.520.000,3.595.533.3,,4599520000.0,35955333.0
