row_label_raw,row_label_full,TÀI SẢN NGÁN HẠN,Mã số,TM,31/12/2018,01/01/2018,numeric__Mã số,numeric__TM,numeric__31/12/2018,numeric__01/01/2018
Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,5.11,935.326.403,703.483.770,151.0,511.0,935326403.0,703483770.0
Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,152,,52.230.670.112,44.986.739.677,152.0,,52230670112.0,44986739677.0
Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,5.14,-,959.940.832,153.0,514.0,,959940832.0
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,,16.102.275.681.926,17.627.529.111.366,200.0,,16102275681926.0,17627529111366.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,210,,1.729.650.492.060,1.631.899.722.298,210.0,,1729650492060.0,1631899722298.0
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,215,5.3,1.728.684.939.682,1.630.934.169.920,215.0,53.0,1728684939682.0,1630934169920.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,216,,965.552.378,965.552.378,216.0,,965552378.0,965552378.0
Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),Dự phòng phải thu dài hạn khó đòi (*),219,5.6,-,-,219.0,56.0,,
Tài sản cố định,Tài sản cố định,Tài sản cố định,220,,11.674.065.699.414,12.946.449.912.111,220.0,,11674065699414.0,12946449912111.0
TSCĐ hữu hình,TSCĐ hữu hình,TSCĐ hữu hình,221,5.9,11.635.867.097.237,12.921.526.033.782,221.0,59.0,11635867097237.0,12921526033782.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,21.934.363.289.622,21.871.308.864.329,222.0,,21934363289622.0,21871308864329.0
- Giá trị hao mòn luỷ kế (*),- Giá trị hao mòn luỷ kế (*),- Giá trị hao mòn luỷ kế (*),223,,(10.298.496.192.385),(8.949.782.830.547),223.0,,-10298496192385.0,-8949782830547.0
TSCĐ vô hình,TSCĐ vô hình,TSCĐ vô hình,227,5.10,38.198.602.177,24.923.878.329,227.0,510.0,38198602177.0,24923878329.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,44.953.363.240,29.372.729.730,228.0,,44953363240.0,29372729730.0
- Giá trị hao mòn luỷ kế (*),- Giá trị hao mòn luỷ kế (*),- Giá trị hao mòn luỷ kế (*),229,,(6.754.761.063),(4.448.851.401),229.0,,-6754761063.0,-4448851401.0
Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,240,,67.532.275.452,81.813.493.312,240.0,,67532275452.0,81813493312.0
"Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn","Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,-,1.055.479.022,241.0,,,1055479022.0
Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,Chi phí xây dựng cơ bản dở dang,242,5.8,67.532.275.452,80.758.014.290,242.0,58.0,67532275452.0,80758014290.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,250,5.2,2.147.490.644.767,2.303.444.577.790,250.0,52.0,2147490644767.0,2303444577790.0
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,251,,1.883.306.772.926,1.883.306.772.926,251.0,,1883306772926.0,1883306772926.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,253,,1.224.938.734.159,1.096.124.960.279,253.0,,1224938734159.0,1096124960279.0
Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),Dự phòng giảm giá đầu tư tài chính dài hạn (*),254,,(960.754.862.318),(675.987.155.415),254.0,,-960754862318.0,-675987155415.0
Tài sản dài hạn khác,Tài sản dài hạn khác,Tài sản dài hạn khác,260,,483.536.570.233,663.921.405.855,260.0,,483536570233.0,663921405855.0
Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,Chi phí trả trước dài hạn,261,5.11,342.796.803.244,515.468.728.162,261.0,511.0,342796803244.0,515468728162.0
"Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn","Thiết bị, vật tư, phụ tùng thay thế dài hạn",263,,140.739.766.989,148.452.677.693,263.0,,140739766989.0,148452677693.0
Lợi thế thương mại,Lợi thế thương mại,Lợi thế thương mại,269,,-,-,269.0,,,
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,,20.132.221.052.371,20.808.690.069.018,270.0,,20132221052371.0,20808690069018.0
