row_label_raw,row_label_full,col_0,CHỈ TIỀU,Mã số TM,Năm 2018,Năm 2017,numeric__CHỈ TIỀU,numeric__Mã số TM,numeric__Năm 2018,numeric__Năm 2017
Tiền thu khác từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền thu khác từ hoạt động kinh doanh,Tiền thu khác từ hoạt động kinh doanh,16,,11.037.193.901,14.112.792.348,16.0,,11037193901.0,14112792348.0
Tiền chi khác cho hoạt động kinh doanh,Điều chỉnh cho các khoản > Tiền chi khác cho hoạt động kinh doanh,Tiền chi khác cho hoạt động kinh doanh,17,,(24.881.131.224),(6.622.783.624),17.0,,-24881131224.0,-6622783624.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,1.874.382.903.054,1.698.846.928.605,20.0,,1874382903054.0,1698846928605.0
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
"Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác","Tiền chi mua sắm, xây dựng TSCĐ và TS DH khác",21,,(69.477.640.230),(101.527.622.271),21.0,,-69477640230.0,-101527622271.0
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi cho vay, mua công cụ nợ của đơn vị khác","Tiền chi cho vay, mua công cụ nợ của đơn vị khác",23,,(725.000.000.000),-,23.0,,-725000000000.0,
"Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác","Tiền thu hồi cho vay, bán công cụ nợ của đơn vị khác",24,,829.053.932.873,20.697.262.539,24.0,,829053932873.0,20697262539.0
Tiền chi đầu tư góp vốn vào đơn vị khác,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền chi đầu tư góp vốn vào đơn vị khác,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(128.813.773.880),(111.033.234.000),25.0,,-128813773880.0,-111033234000.0
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,25.514.466.112,47.790.758.036,27.0,,25514466112.0,47790758036.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(68.723.015.125),(144.072.835.696),30.0,,-68723015125.0,-144072835696.0
LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,,
Tiền thu từ đi vay,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền thu từ đi vay,Tiền thu từ đi vay,33,7.1,741.780.860.000,874.340.907.848,33.0,71.0,741780860000.0,874340907848.0
Tiền trả nợ gốc vay,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,7.2,(2.135.073.180.593),(2.666.122.362.717),34.0,72.0,-2135073180593.0,-2666122362717.0
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu","LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Cổ tức, lợi nhuận đã trả cho chủ sở hữu","Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(203.883.492.000),-,36.0,,-203883492000.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,(1.597.175.812.593),(1.791.781.454.869),40.0,,-1597175812593.0,-1791781454869.0
LƯU CHUYÊN TIỀN THUẢN TRONG NĂM,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > LƯU CHUYÊN TIỀN THUẢN TRONG NĂM,LƯU CHUYÊN TIỀN THUẢN TRONG NĂM,50,,208.484.075.336,(237.007.361.960),50.0,,208484075336.0,-237007361960.0
Tiền và tương đương tiền đầu năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,,91.603.523.920,328.610.885.880,60.0,,91603523920.0,328610885880.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,,-,-,61.0,,,
Tiền và tương đương tiền cuối năm,LƯU CHUYÊN TIỀN TỪ HOẠT ĐỘNG TẢI CHÍNH > Tiền và tương đương tiền cuối năm,Tiền và tương đương tiền cuối năm,70,,300.087.599.256,91.603.523.920,70.0,,300087599256.0,91603523920.0
