row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019 Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018 Triệu VND
Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,Những thay đổi về tài sản hoạt động,,,
09,Những thay đổi về tài sản hoạt động > 09,09,Tăng các khoản tiền gửi và cho vay các tổ chức tín dụng khác,(5.294.776),(2.763.423),,-5294776.0,-2763423.0
10,Những thay đổi về tài sản hoạt động > 10,10,Tăng các khoản về kinh doanh chứng khoán,(4.393.112),(665.001),,-4393112.0,-665001.0
11,Những thay đổi về tài sản hoạt động > 11,11,Tăng các công cụ tài chính phải sinh và các tài sản tài chính khác,(87.753),-,,-87753.0,
12,Những thay đổi về tài sản hoạt động > 12,12,Tăng các khoản cho vay khách hàng,(38.173.321),(32.013.826),,-38173321.0,-32013826.0
13,Những thay đổi về tài sản hoạt động > 13,13,Giảm nguồn dự phòng để bù đắp tồn thất các khoản,(341.513),(238.171),,-341513.0,-238171.0
14,Những thay đổi về tài sản hoạt động > 14,14,Giảm khác về tài sản hoạt động,242.793,448.784,,242793.0,448784.0
Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,Những thay đổi về công nợ hoạt động,,,
15,Những thay đổi về công nợ hoạt động > 15,15,(Giảm)/tăng các khoản nợ Chính phủ và Ngân hàng Nhà nước,(3.074.100),3.074.100,,-3074100.0,3074100.0
16,Những thay đổi về công nợ hoạt động > 16,16,"(Giảm)/tăng các khoản tiền gửi, tiền vay các tổ chức tín dụng khác",(1.469.810),5.264.636,,-1469810.0,5264636.0
17,Những thay đổi về công nợ hoạt động > 17,17,Tăng tiền gửi của khách hàng,38.130.888,28.605.571,,38130888.0,28605571.0
18,Những thay đổi về công nợ hoạt động > 18,18,Tăng phát hành giấy tờ có giá,12.334.480,2.362.600,,12334480.0,2362600.0
19,Những thay đổi về công nợ hoạt động > 19,19,"(Giảm)/tăng vốn tài trợ, ủy thác đầu tư, cho vay mà tổ chức tín dụng chịu rủi ro",(3.946),23.627,,-3946.0,23627.0
20,Những thay đổi về công nợ hoạt động > 20,20,(Giảm)/tăng các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(38.198),27.707,,-38198.0,27707.0
21,Những thay đổi về công nợ hoạt động > 21,21,Tăng khác về công nợ hoạt động,276.619,638.518,,276619.0,638518.0
22,Những thay đổi về công nợ hoạt động > 22,22,Chi từ các quỹ của tổ chức tín dụng,(1.326),(5.205),,-1326.0,-5205.0
I,Những thay đổi về công nợ hoạt động > I,I,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG KINH DOANH,5.814.902,11.905.177,,5814902.0,11905177.0
