row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quá hạn > Ngày 31 tháng 12 năm 2019,Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,Trên 5 năm > Ngày 31 tháng 12 năm 2019,Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Ngày 31 tháng 12 năm 2019,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2019
Bất động sản đầu tư,Tài sản > Bất động sản đầu tư,Bất động sản đầu tư,-,361.676,-,-,-,-,-,-,361.676,,361676.0,,,,,,,361676.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),274.193,6.887.411,-,-,-,1.332.746,-,-,8.494.350,274193.0,6887411.0,,,,1332746.0,,,8494350.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.612.231,31.922.509,17.846.454,266.855.879,8.266.799,4.350.557,25.736.157,30.796.380,388.386.966,2612231.0,31922509.0,17846454.0,266855879.0,8266799.0,4350557.0,25736157.0,30796380.0,388386966.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,15.393.002,3.810.570,45.000,-,-,-,19.248.572,,,15393002.0,3810570.0,45000.0,,,,19248572.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,63.204.062,91.174.142,85.108.180,13.194.886,55.448.121,-,308.129.391,,,63204062.0,91174142.0,85108180.0,13194886.0,55448121.0,,308129391.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,128.850,-,-,-,27.297,156.147,,,,128850.0,,,,27297.0,156147.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,-,4.072.617,14.391.800,2.366.419,20.830.836,,,,,,4072617.0,14391800.0,2366419.0,20830836.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,7.384.134,-,-,-,-,-,-,7.384.134,,7384134.0,,,,,,,7384134.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,7.384.134,78.597.064,95.113.562,85.153.180,17.267.503,69.839.921,2.393.716,355.749.080,,7384134.0,78597064.0,95113562.0,85153180.0,17267503.0,69839921.0,2393716.0,355749080.0
Mức chênh nhạy cảm với lãi suất - nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - nội bảng,Mức chênh nhạy cảm với lãi suất - nội bảng,2.612.231,24.538.375,(60.750.610),171.742.317,(76.886.381),(12.916.946),(44.103.764),28.402.664,32.637.886,2612231.0,24538375.0,-60750610.0,171742317.0,-76886381.0,-12916946.0,-44103764.0,28402664.0,32637886.0
Mức chênh nhạy cảm với lãi suất - ngoại bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất - ngoại bảng,Mức chênh nhạy cảm với lãi suất - ngoại bảng,-,(12.267.523),-,-,-,-,-,-,(12.267.523),,-12267523.0,,,,,,,-12267523.0
Tổng mức chênh nhạy cảm với lãi suất,Nợ phải trả > Tổng mức chênh nhạy cảm với lãi suất,Tổng mức chênh nhạy cảm với lãi suất,2.612.231,12.270.852,(60.750.610),171.742.317,(76.886.381),(12.916.946),(44.103.764),28.402.664,20.370.363,2612231.0,12270852.0,-60750610.0,171742317.0,-76886381.0,-12916946.0,-44103764.0,28402664.0,20370363.0
