row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải truyền dẫn,"Thiết bị,dụng cụ quản lý",TSCĐhửu hình khác,Cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải truyền dẫn,"numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐhửu hình khác,numeric__Cộng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,525.689.112.354,283.473.125.321,96.815.376.558,26.244.083.646,2.460.135.503.336,3.392.357.201.215,525689112354.0,283473125321.0,96815376558.0,26244083646.0,2460135503336.0,3392357201215.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,108.898.011.998,56.737.725.056,97.645.616.455,2.209.247.047,382.245.434.806,647.736.035.362,108898011998.0,56737725056.0,97645616455.0,2209247047.0,382245434806.0,647736035362.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,1.020.932.293.317,2.125.926.096.509,2.284.941.808.402,24.045.761.346,2.576.883.746,5.458.422.843.320,1020932293317.0,2125926096509.0,2284941808402.0,24045761346.0,2576883746.0,5458422843320.0
Mua lại TSCĐ thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,10.459.184.237,3.072.920.322,-,-,13.532.104.559,,10459184237.0,3072920322.0,,,13532104559.0
Tăng khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng khác,Tăng khác,-,67.679.054,-,-,-,67.679.054,,67679054.0,,,,67679054.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(15.863.278.419),(370.543.188.606),(70.925.955.331),(2.069.100.209),(201.744.041),(459.603.266.606),-15863278419.0,-370543188606.0,-70925955331.0,-2069100209.0,-201744041.0,-459603266606.0
Giảm do thoái vốn tại Công ty con,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,(128.007.787.494),(34.368.130.606),(4.766.222.456),-,(2.887.935.565),(170.030.076.121),-128007787494.0,-34368130606.0,-4766222456.0,,-2887935565.0,-170030076121.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(11.229.727.196),(323.160.078),(1.551.562.012),-,(32.677.080),(13.137.126.366),-11229727196.0,-323160078.0,-1551562012.0,,-32677080.0,-13137126366.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,645.806.314,(193.171.995),(941.546.159),-,488.911.840,-,645806314.0,-193171995.0,-941546159.0,,488911840.0,
Số cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.501.064.430.874,2.071.236.158.892,2.404.290.435.779,50.429.991.830,2.842.324.377.042,8.869.345.394.417,1501064430874.0,2071236158892.0,2404290435779.0,50429991830.0,2842324377042.0,8869345394417.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,761.863.903.412,121.853.954.461,264.798.465.350,12.957.689.689,5.065.943.952.289,6.227.417.965.201,761863903412.0,121853954461.0,264798465350.0,12957689689.0,5065943952289.0,6227417965201.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,1.822.579.679.027,1.400.723.115.808,3.902.269.123.429,33.130.957.856,4.698.233.806.177,11.856.936.682.297,1822579679027.0,1400723115808.0,3902269123429.0,33130957856.0,4698233806177.0,11856936682297.0
