row_label_raw,row_label_full,2. Các khoản đầu tư tài chính,2. Các khoản đầu tư tài chính_1,2. Các khoản đầu tư tài chính_2,2. Các khoản đầu tư tài chính_3,2. Các khoản đầu tư tài chính_4,2. Các khoản đầu tư tài chính_5,2. Các khoản đầu tư tài chính_6,numeric__2. Các khoản đầu tư tài chính_1,numeric__2. Các khoản đầu tư tài chính_2,numeric__2. Các khoản đầu tư tài chính_3,numeric__2. Các khoản đầu tư tài chính_4,numeric__2. Các khoản đầu tư tài chính_5,numeric__2. Các khoản đầu tư tài chính_6
Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,Giá trị hợp lý của các cổ phiếu niêm yết được xác định theo giá đóng cửa của cổ phiếu tại ngày 31/12.,,,,,,
"(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.","(*): Công ty chưa xác định giá trị hợp lý do các chứng khoán này chưa niêm yết trên thị trường, Chế độ kế toán doanh nghiệp Việt Nam và Chuẩn mực kế toán Việt Nam cũng không có hướng dẫn về cách tính giá trị hợp lý sử dụng các kỹ thuật định giá. Giá trị hợp lý của các khoản chứng khoán này có thể khác với giá trị ghi sổ.",,,,,,
2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,2.2 Đầu tư nằm giữ đến ngày đáo hạn,,,,,,
2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,,,,,,
,,,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
,,,Giá gốc,Giá trị hợp lý,Dự phòng,Giá gốc,Giá trị hợp lý,Dự phòng,,,,,,
Tiền gửi có kỳ hạn,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn > Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,1.630.356.507.300,1.630.356.507.300,-,556.511.048.801,556.511.048.801,-,1630356507300.0,1630356507300.0,,556511048801.0,556511048801.0,
Tiền gửi có kỳ hạn trên 3 tháng đến 12 tháng tại các ngân hàng thương mại (*),2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn > Tiền gửi có kỳ hạn trên 3 tháng đến 12 tháng tại các ngân hàng thương mại (*),Tiền gửi có kỳ hạn trên 3 tháng đến 12 tháng tại các ngân hàng thương mại (*),1.630.356.507.300,1.630.356.507.300,-,556.511.048.801,556.511.048.801,-,1630356507300.0,1630356507300.0,,556511048801.0,556511048801.0,
Trái phiếu,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn > Trái phiếu,Trái phiếu,52.500.045.978,52.500.045.978,-,-,-,-,52500045978.0,52500045978.0,,,,
Trái phiếu doanh nghiệp,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,52.500.045.978,52.500.045.978,-,-,-,-,52500045978.0,52500045978.0,,,,
Cộng,2.2.1 Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn > Cộng,Cộng,1.682.856.553.278,1.682.856.553.278,-,556.511.048.801,556.511.048.801,-,1682856553278.0,1682856553278.0,,556511048801.0,556511048801.0,
