row_label_raw,row_label_full,col_0,Kinh doanh ô tô,"Sản xuất nước sạch, đồ gia dụng, vật liệu xây dựng và bao bì","Đầu tư, kinh doanh BDS",Dịch vụ thu phí đường bộ theo hình thức BOT,Dịch vụ thu phí theo hình thức điện tử không dùng,Hoạt động kinh doanh bảo hiểm và đầu tư khác,Tổng,numeric__Kinh doanh ô tô,"numeric__Sản xuất nước sạch, đồ gia dụng, vật liệu xây dựng và bao bì","numeric__Đầu tư, kinh doanh BDS",numeric__Dịch vụ thu phí đường bộ theo hình thức BOT,numeric__Dịch vụ thu phí theo hình thức điện tử không dùng,numeric__Hoạt động kinh doanh bảo hiểm và đầu tư khác,numeric__Tổng
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,1.978.882.128.757,5.722.366.688.433,1.580.152.421.387,3.933.822.901.217,886.885.677.492,319.370.791.820,14.421.480.609.106,1978882128757.0,5722366688433.0,1580152421387.0,3933822901217.0,886885677492.0,319370791820.0,14421480609106.0
TSCĐ không thể phân bổ,TÀI SẢN > TSCĐ không thể phân bổ,TSCĐ không thể phân bổ,,,,,,,19.985.765.496,,,,,,,19985765496.0
Tài sản dở dang dài hạn,TÀI SẢN > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,427.740.289.746,928.389.836.293,1.310.409.074.221,-,716.152.000,224.644.727.039,2.891.900.079.299,427740289746.0,928389836293.0,1310409074221.0,,716152000.0,224644727039.0,2891900079299.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,2.603.945.254.803,3.379.042.878.290,201.104.020.353,10.145.497.797,314.559.463.222,9.633.907.910.166,16.142.705.024.631,2603945254803.0,3379042878290.0,201104020353.0,10145497797.0,314559463222.0,9633907910166.0,16142705024631.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,3.864.488.869.752,1.975.656.667.611,-,-,29.875.568.491,65.885.109.644,5.935.906.215.498,3864488869752.0,1975656667611.0,,,29875568491.0,65885109644.0,5935906215498.0
"Tài sản ngắn hạn, dài hạn","TÀI SẢN > Tài sản ngắn hạn, dài hạn","Tài sản ngắn hạn, dài hạn",1.838.537.609.481,2.366.815.984.663,-,1.262.590.203.127,1.479.443.090.838,3.340.547.983.388,10.287.934.871.497,1838537609481.0,2366815984663.0,,1262590203127.0,1479443090838.0,3340547983388.0,10287934871497.0
Tài sản không thể phân bổ,TÀI SẢN > Tài sản không thể phân bổ,Tài sản không thể phân bổ,,,,,,,2.531.327.634.826,,,,,,,2531327634826.0
Tổng tài sản,TÀI SẢN > Tổng tài sản,Tổng tài sản,10.713.594.152.539,14.372.272.055.290,3.091.665.515.961,5.206.558.602.141,2.711.479.952.043,13.584.356.522.057,52.231.240.200.353,10713594152539.0,14372272055290.0,3091665515961.0,5206558602141.0,2711479952043.0,13584356522057.0,52231240200353.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,
Các khoản phải trả,NỘ PHẢI TRẢ > Các khoản phải trả,Các khoản phải trả,2.398.968.327.131,2.373.676.349.994,594.622.020.384,515.808.675.682,1.790.882.322.403,3.934.798.071.235,11.608.755.766.829,2398968327131.0,2373676349994.0,594622020384.0,515808675682.0,1790882322403.0,3934798071235.0,11608755766829.0
Phải trả tiền vay,NỘ PHẢI TRẢ > Phải trả tiền vay,Phải trả tiền vay,7.885.630.993.932,8.704.149.199.295,-,3.184.633.530.026,1.572.499.843.025,574.797.746.030,21.921.711.312.308,7885630993932.0,8704149199295.0,,3184633530026.0,1572499843025.0,574797746030.0,21921711312308.0
Nợ phải trả không phân bổ,NỘ PHẢI TRẢ > Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,,,,758.459.293.042,,,,,,,758459293042.0
Tổng nợ phải trả,NỘ PHẢI TRẢ > Tổng nợ phải trả,Tổng nợ phải trả,10.284.599.321.063,11.077.825.549.289,594.622.020.384,3.700.442.205.708,3.363.382.165.428,4.509.595.817.265,34.288.926.372.179,10284599321063.0,11077825549289.0,594622020384.0,3700442205708.0,3363382165428.0,4509595817265.0,34288926372179.0
