row_label_raw,row_label_full,Tên,Địa chỉ,Ngành nghề kinh doanh,Tỷ lệ lợi ích (%),Tỷ lệ quyền biểu quyết(%),numeric__Địa chỉ,numeric__Ngành nghề kinh doanh,numeric__Tỷ lệ lợi ích (%),numeric__Tỷ lệ quyền biểu quyết(%)
- Công ty TNHH Đầu tư và Phát triển CVT,- Công ty TNHH Đầu tư và Phát triển CVT,- Công ty TNHH Đầu tư và Phát triển CVT,Phú Thọ,Hoạt động dịch vụ tài chính,"29,26%","99,99%",,,0.2926,0.9998999999999999
- Công ty cổ phần Đầu tư Xây dựng Cấp thoát nước Sơn Thạnh,- Công ty cổ phần Đầu tư Xây dựng Cấp thoát nước Sơn Thạnh,- Công ty cổ phần Đầu tư Xây dựng Cấp thoát nước Sơn Thạnh,Khánh Hoà,Sản xuất và kinh doanh nước sạch,"16,10%","55,00%",,,0.161,0.55
- Công ty cổ phần Hạ tầng nước Sài Gòn,- Công ty cổ phần Hạ tầng nước Sài Gòn,- Công ty cổ phần Hạ tầng nước Sài Gòn,Hồ Chí Minh,Sản xuất và kinh doanh nước sạch,"14,81%","50,61%",,,0.1481,0.5061
- Công ty cổ phần Cấp thoát nước Củ Chi,- Công ty cổ phần Cấp thoát nước Củ Chi,- Công ty cổ phần Cấp thoát nước Củ Chi,Hồ Chí Minh,"Khai thác, xử lý và cung cấp nước","14,81%","100,00%",,,0.1481,1.0
- Công ty cổ phần Cấp thoát nước Gia Lai,- Công ty cổ phần Cấp thoát nước Gia Lai,- Công ty cổ phần Cấp thoát nước Gia Lai,Gia Lai,"Khai thác, xử lý và cung cấp nước","7,55%","51,00%",,,0.0755,0.51
- Công ty cổ phần cấp nước Sài Gòn - Đan Kia,- Công ty cổ phần cấp nước Sài Gòn - Đan Kia,- Công ty cổ phần cấp nước Sài Gòn - Đan Kia,Lâm Đồng,"Khai thác, xử lý và cung cấp nước","13,34%","90,00%",,,0.1334,0.9
- Công ty TNHH Đầu tư và Phát triển Hạ tầng Công nghiệp PT,- Công ty TNHH Đầu tư và Phát triển Hạ tầng Công nghiệp PT,- Công ty TNHH Đầu tư và Phát triển Hạ tầng Công nghiệp PT,Phú Thọ,Bất động sản và Quyền sử dụng đất,"29,27%","100,00%",,,0.2927,1.0
- Viện Khoa học và Công nghệ nước,- Viện Khoa học và Công nghệ nước,- Viện Khoa học và Công nghệ nước,Hà Nội,Nghiên cứu và triển khai dự án nước,"22,74%","80,00%",,,0.2274,0.8
- Công ty cổ phần Nước Sài Gòn - An Khê,- Công ty cổ phần Nước Sài Gòn - An Khê,- Công ty cổ phần Nước Sài Gòn - An Khê,Gia Lai,"Khai thác, xử lý và cung cấp nước","11,46%","77,33%",,,0.11460000000000001,0.7733
- Công ty TNHH Giải pháp Ngành nước S&D,- Công ty TNHH Giải pháp Ngành nước S&D,- Công ty TNHH Giải pháp Ngành nước S&D,Hà Nội,"Khai thác, xử lý và cung cấp nước","29,26%","100,00%",,,0.2926,1.0
"- Công ty cổ phần Năng lượng Tasco Công ty liên doanh, liên kết","- Công ty cổ phần Năng lượng Tasco Công ty liên doanh, liên kết","- Công ty cổ phần Năng lượng Tasco Công ty liên doanh, liên kết",Hồ Chí Minh,Sản xuất điện,"14,88%","50,90%",,,0.14880000000000002,0.509
- Công ty cổ phần NVT Holdings,- Công ty cổ phần NVT Holdings,- Công ty cổ phần NVT Holdings,Hà Nội,Kinh doanh bất động sản,"20,00%","50,00%",,,0.2,0.5
- Công ty TNHH BOT Hùng Thắng Phú Thọ,- Công ty TNHH BOT Hùng Thắng Phú Thọ,- Công ty TNHH BOT Hùng Thắng Phú Thọ,Phú Thọ,Hạ tầng giao thông,"30,00%","30,00%",,,0.3,0.3
