row_label_raw,row_label_full,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá gốc,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá trị hợp lý,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Dự phòng,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá gốc,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá trị hợp lý,2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Dự phòng,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá gốc,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Giá trị hợp lý,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số cuối năm > Dự phòng,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá gốc,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Giá trị hợp lý,numeric__2.2.2 Đầu tư nắm giữ đến ngày đáo hạn dài hạn > Số đầu năm > Dự phòng
Công ty cổ phần Đầu tư Tri Thức Tương Lai,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Đầu tư Tri Thức Tương Lai",Công ty cổ phần Đầu tư Tri Thức Tương Lai,37.703.000.000,39.309.149.894,-,37.703.000.000,38.491.610.165,-,37703000000.0,39309149894.0,,37703000000.0,38491610165.0,
Công ty cổ phần GreenLynk Automotives,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần GreenLynk Automotives",Công ty cổ phần GreenLynk Automotives,18.000.000.000,5.719.924.703,-,18.000.000.000,14.743.113.716,-,18000000000.0,5719924703.0,,18000000000.0,14743113716.0,
Công ty TNHH Savico Quảng Nam,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH Savico Quảng Nam",Công ty TNHH Savico Quảng Nam,6.500.000.000,6.035.131.896,-,6.500.000.000,6.198.902.819,-,6500000000.0,6035131896.0,,6500000000.0,6198902819.0,
Công ty cổ phần Kỹ thuật Hạ tầng Meta,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Kỹ thuật Hạ tầng Meta",Công ty cổ phần Kỹ thuật Hạ tầng Meta,3.062.500.000,3.062.500.000,-,-,-,-,3062500000.0,3062500000.0,,,,
Công ty cổ phần Nước và Môi trường Đông Hải,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Nước và Môi trường Đông Hải",Công ty cổ phần Nước và Môi trường Đông Hải,2.500.000.000,2.500.000.000,-,-,-,-,2500000000.0,2500000000.0,,,,
Công ty TNHH Cấp thoát nước Đại Dương Xanh,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty TNHH Cấp thoát nước Đại Dương Xanh",Công ty TNHH Cấp thoát nước Đại Dương Xanh,750.000.000,-,-,-,-,-,750000000.0,,,,,
Công ty cổ phần Toyota Đông Sài Gòn,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Toyota Đông Sài Gòn",Công ty cổ phần Toyota Đông Sài Gòn,-,-,-,29.106.059.000,69.147.265.368,-,,,,29106059000.0,69147265368.0,
Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định",Công ty cổ phần Dịch vụ Sài Gòn Ô tô Gia Định,-,-,-,8.750.000.000,15.800.757.612,-,,,,8750000000.0,15800757612.0,
Công ty cổ phần Tasco Auto Sài Gòn,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Công ty cổ phần Tasco Auto Sài Gòn",Công ty cổ phần Tasco Auto Sài Gòn,-,-,-,3.600.000.000,983.636.413,-,,,,3600000000.0,983636413.0,
Cộng,"2.3 Đầu tư vào Công ty liên doanh, liên kết > Cộng",Cộng,631.747.000.000,550.747.058.376,-,840.759.059.000,825.479.026.699,-,631747000000.0,550747058376.0,,840759059000.0,825479026699.0,
