row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Tài sảnkhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Tài sảnkhácVND,numeric__Tổng cộngVND
Tại ngày 1 tháng 1 năm 2017,Khẩu hao lũy kế > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,(8.746.224.577),(10.310.780.843),(13.499.896.217),(8.996.770.841),(400.518.539),(41.954.191.017),-8746224577.0,-10310780843.0,-13499896217.0,-8996770841.0,-400518539.0,-41954191017.0
Phân loại lại,Khẩu hao lũy kế > Phân loại lại,Phân loại lại,875.936.298,-,-,(875.936.298),-,-,875936298.0,,,-875936298.0,,
Khẩu hao trong năm,Khẩu hao lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,(7.817.532.255),(2.377.953.658),(11.573.285.020),(5.395.142.719),(230.881.557),(27.394.795.209),-7817532255.0,-2377953658.0,-11573285020.0,-5395142719.0,-230881557.0,-27394795209.0
Tăng do mua công ty con,Khẩu hao lũy kế > Tăng do mua công ty con,Tăng do mua công ty con,(72.502.462.575),(413.005.914),(720.383.511),(536.725.487),-,(74.172.577.487),-72502462575.0,-413005914.0,-720383511.0,-536725487.0,,-74172577487.0
"Thanh lý, nhượng bán","Khẩu hao lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",1.056.895.321,1.012.112.453,4.056.793.215,164.641.650,-,6.290.442.639,1056895321.0,1012112453.0,4056793215.0,164641650.0,,6290442639.0
Giảm do bán công ty con,Khẩu hao lũy kế > Giảm do bán công ty con,Giảm do bán công ty con,-,2.365.339.789,1.005.159.086,4.186.400.641,350.897.589,7.907.797.105,,2365339789.0,1005159086.0,4186400641.0,350897589.0,7907797105.0
Tại ngày 31 tháng 12 năm 2017,Khẩu hao lũy kế > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,(87.133.387.788),(9.724.288.173),(20.731.612.447),(11.453.533.054),(280.502.507),(129.323.323.969),-87133387788.0,-9724288173.0,-20731612447.0,-11453533054.0,-280502507.0,-129323323969.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2017,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2017,Tại ngày 1 tháng 1 năm 2017,40.815.945.171,6.948.410.031,57.512.704.818,14.388.631.824,514.554.458,120.180.246.302,40815945171.0,6948410031.0,57512704818.0,14388631824.0,514554458.0,120180246302.0
Tại ngày 31 tháng 12 năm 2017,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,163.256.895.658,8.522.283.030,93.290.206.940,16.715.106.908,61.106.584,281.845.599.120,163256895658.0,8522283030.0,93290206940.0,16715106908.0,61106584.0,281845599120.0
