row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Quá hạn > Quá hạn trên3 thángVND,Quá hạn > Quá hạn đến3 thángVND,Quá hạn > Đến 1 thángVND,Trong hạn > Từ trên 1 đến3 thángVND,Trong hạn > Từ trên 3 đến12 thángVND,Trong hạn > Từ trên 1 đến5 nămVND,Trong hạn > Trên 5 nămVND,Trong hạn > TổngVND,numeric__Quá hạn > Quá hạn trên3 thángVND,numeric__Quá hạn > Quá hạn đến3 thángVND,numeric__Quá hạn > Đến 1 thángVND,numeric__Trong hạn > Từ trên 1 đến3 thángVND,numeric__Trong hạn > Từ trên 3 đến12 thángVND,numeric__Trong hạn > Từ trên 1 đến5 nămVND,numeric__Trong hạn > Trên 5 nămVND,numeric__Trong hạn > TổngVND
Tài sản cố khác – gộp,Tài sản > Tài sản cố khác – gộp,Tài sản cố khác – gộp,4.800.000.000,-,155.613.771.411,193.680.004.700,342.515.398.758,856.610.689.700,525.193.766.555,2.078.413.631.124,4800000000.0,,155613771411.0,193680004700.0,342515398758.0,856610689700.0,525193766555.0,2078413631124.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),591.135.354.898,864.574.041.527,13.359.689.986.882,7.911.363.323.986,11.128.031.305.018,24.849.186.510.275,26.401.650.839.700,85.105.631.362.286,591135354898.0,864574041527.0,13359689986882.0,7911363323986.0,11128031305018.0,24849186510275.0,26401650839700.0,85105631362286.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,6.190.499.448,18.255.045.975,310.764.332.180,-,-,335.209.877.603,,,6190499448.0,18255045975.0,310764332180.0,,,335209877603.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,13.414.374.488.241,2.702.388.000.000,-,185.353.675.000,1.514.064.160,16.303.630.227.401,,,13414374488241.0,2702388000000.0,,185353675000.0,1514064160.0,16303630227401.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,24.861.133.129.616,8.532.063.531.725,16.932.580.514.672,2.879.228.269.664,786.949.500,53.205.792.395.177,,,24861133129616.0,8532063531725.0,16932580514672.0,2879228269664.0,786949500.0,53205792395177.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,468.769.750.000,650.416.875.000,183.219.155.000,1.287.248.122.849,55.811.889.518,2.645.465.792.367,,,468769750000.0,650416875000.0,183219155000.0,1287248122849.0,55811889518.0,2645465792367.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,294.510.246.362,4.067.179.019.571,-,4.361.689.265.933,,,,,294510246362.0,4067179019571.0,,4361689265933.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,-,191.463.076.781,211.242.269.077,754.589.586.171,151.595.800.776,94.788.772,1.308.985.521.577,,,191463076781.0,211242269077.0,754589586171.0,151595800776.0,94788772.0,1308985521577.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,-,38.941.930.944.086,12.114.365.721.777,18.475.663.834.385,8.570.604.887.860,58.207.691.950,78.160.773.080.058,,,38941930944086.0,12114365721777.0,18475663834385.0,8570604887860.0,58207691950.0,78160773080058.0
Mức chênh thanh khoản ròng [(3)=(1)-(2)],Nợ phải trả > Mức chênh thanh khoản ròng [(3)=(1)-(2)],Mức chênh thanh khoản ròng [(3)=(1)-(2)],591.135.354.898,864.574.041.527,(25.582.240.957.204),(4.203.002.397.791),(7.347.632.529.367),16.278.581.622.415,26.343.443.147.750,6.944.858.282.228,591135354898.0,864574041527.0,-25582240957204.0,-4203002397791.0,-7347632529367.0,16278581622415.0,26343443147750.0,6944858282228.0
