row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,VND VND,USD VND,Vàng VND,EUR VND,Tiền tệ khác VND,Tổng VND,numeric__VND VND,numeric__USD VND,numeric__Vàng VND,numeric__EUR VND,numeric__Tiền tệ khác VND,numeric__Tổng VND
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,424.781.685.200,-,-,-,-,424.781.685.200,424781685200.0,,,,,424781685200.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,11.119.231.197.441,422.489.568.890,-,-,-,11.541.720.766.331,11119231197441.0,422489568890.0,,,,11541720766331.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,41.195.802.484.997,1.848.296.662.265,-,6.773.636.506,13.112.274.045,43.063.985.057.813,41195802484997.0,1848296662265.0,,6773636506.0,13112274045.0,43063985057813.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,(213.748.749.880),152.501.199.550,-,69.591.000.000,-,8.343.449.670,-213748749880.0,152501199550.0,,69591000000.0,,8343449670.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",347.550.236.448,1.783.600.069.000,-,-,-,2.131.150.305.448,347550236448.0,1783600069000.0,,,,2131150305448.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,996.838.495.146,-,-,-,-,996.838.495.146,996838495146.0,,,,,996838495146.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,899.998.730.081,13.732.297.480,8.030.406,14.852.838.213,3.998.123.071,932.590.019.251,899998730081.0,13732297480.0,8030406.0,14852838213.0,3998123071.0,932590019251.0
Vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Vốn chủ sở hữu,Vốn chủ sở hữu,4.715.677.950.774,-,-,-,-,4.715.677.950.774,4715677950774.0,,,,,4715677950774.0
Tổng nợ phải trả và vốn chủ sở hữu (2),Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu (2),Tổng nợ phải trả và vốn chủ sở hữu (2),59.486.132.030.207,4.220.619.797.185,8.030.406,91.217.474.719,17.110.397.116,63.815.087.729.633,59486132030207.0,4220619797185.0,8030406.0,91217474719.0,17110397116.0,63815087729633.0
Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],Trạng thái tiền tệ nội bảng [(3)=(1)-(2)],445.327.151.231,170.125.455.927,3.152.379.594,(5.839.727.141),(2.860.507.617),609.904.751.994,445327151231.0,170125455927.0,3152379594.0,-5839727141.0,-2860507617.0,609904751994.0
Trạng thái tiền tệ ngoại bảng (4),Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng (4),Trạng thái tiền tệ ngoại bảng (4),91.067.250.000,(99.583.143.185),-,6.959.100.000,3.919.440.000,2.362.646.815,91067250000.0,-99583143185.0,,6959100000.0,3919440000.0,2362646815.0
"Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]","Trạng thái tiền tệ nội, ngoại bảng [(5)=(3)+(4)]",536.394.401.231,70.542.312.742,3.152.379.594,1.119.372.859,1.058.932.383,612.267.398.809,536394401231.0,70542312742.0,3152379594.0,1119372859.0,1058932383.0,612267398809.0
