row_label_raw,row_label_full,col_0,Nhà xuốngvà vật kiến trúc,Máy mócvà thiết bị,Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản khác,Tổng,numeric__Nhà xuốngvà vật kiến trúc,numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__Tài sản khác,numeric__Tổng
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,2.510.868.450.120,4.819.382.283.782,261.003.984.294,28.403.136.369,8.856.702.540,7.628.514.557.105,2510868450120.0,4819382283782.0,261003984294.0,28403136369.0,8856702540.0,7628514557105.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,221.843.191.833,393.426.571.819,18.147.969.903,6.393.801.065,902.821.303,640.714.355.923,221843191833.0,393426571819.0,18147969903.0,6393801065.0,902821303.0,640714355923.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,290.517.666.167,1.169.297.540.544,-,1.283.635.241,-,1.461.098.841.952,290517666167.0,1169297540544.0,,1283635241.0,,1461098841952.0
Tăng từ TSCĐ thuê tài chính,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ TSCĐ thuê tài chính,Tăng từ TSCĐ thuê tài chính,-,85.607.219.344,4.618.718.282,181.592.419,-,90.407.530.045,,85607219344.0,4618718282.0,181592419.0,,90407530045.0
Tăng từ bất động sản đầu tư,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng từ bất động sản đầu tư,Tăng từ bất động sản đầu tư,34.180.785.820,-,-,-,-,34.180.785.820,34180785820.0,,,,,34180785820.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,-,(455.867.507),471.870.245,(16.002.738),-,-,,-455867507.0,471870245.0,-16002738.0,,
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(11.802.732.513),(69.932.739.326),(7.440.835.890),(1.394.805.798),-,(90.571.113.527),-11802732513.0,-69932739326.0,-7440835890.0,-1394805798.0,,-90571113527.0
Chênh lệch chuyển đổi BCTC,GIÁ TRỊ HAO MÒN LỦY KẾ > Chênh lệch chuyển đổi BCTC,Chênh lệch chuyển đổi BCTC,-,1.189.166.867,485.600.741,-,1.156.400,1.675.924.008,,1189166867.0,485600741.0,,1156400.0,1675924008.0
(Giám) khác,GIÁ TRỊ HAO MÒN LỦY KẾ > (Giám) khác,(Giám) khác,(4.029.657),(336.023.175),-,-,-,(340.052.832),-4029657.0,-336023175.0,,,,-340052832.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,3.045.603.331.770,6.398.178.152.348,277.287.307.575,34.851.356.558,9.760.680.243,9.765.680.828.494,3045603331770.0,6398178152348.0,277287307575.0,34851356558.0,9760680243.0,9765680828494.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,3.146.650.528.713,2.368.855.189.058,69.551.055.575,54.422.663.942,4.076.296.991,5.643.555.734.279,3146650528713.0,2368855189058.0,69551055575.0,54422663942.0,4076296991.0,5643555734279.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,3.037.124.515.508,2.212.766.483.501,57.633.490.296,48.525.599.677,3.173.475.688,5.359.223.564.670,3037124515508.0,2212766483501.0,57633490296.0,48525599677.0,3173475688.0,5359223564670.0
