row_label_raw,row_label_full,Đổi tượng,Số cuối năm > Giá gốcVND,Số cuối năm > Giá trị có thể thu hồiVND,Số đầu năm > Giá gốcVND,Số đầu năm > Giá trị có thể thu hồiVND,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Giá trị có thể thu hồiVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Giá trị có thể thu hồiVND
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,b) Quá hạn từ 2 năm đến dưới 3 năm > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,563.304.188,168.991.256,-,-,563304188.0,168991256.0,,
c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,c) Quá hạn từ 1 năm đến dưới 2 năm,,,,,,,,
Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,c) Quá hạn từ 1 năm đến dưới 2 năm > Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,74.610.276.802,37.305.138.399,-,-,74610276802.0,37305138399.0,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,c) Quá hạn từ 1 năm đến dưới 2 năm > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,66.116.174.924,33.058.087.462,-,-,66116174924.0,33058087462.0,,
Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,c) Quá hạn từ 1 năm đến dưới 2 năm > Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,14.752.536.375,7.376.268.188,-,-,14752536375.0,7376268188.0,,
Công ty Cổ phần Năng lượng Đất Việt,c) Quá hạn từ 1 năm đến dưới 2 năm > Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,7.061.641.125,3.530.820.563,9.906.135.711,4.953.067.855,7061641125.0,3530820563.0,9906135711.0,4953067855.0
Các đối tượng khác,c) Quá hạn từ 1 năm đến dưới 2 năm > Các đối tượng khác,Các đối tượng khác,-,-,2.205.820.962,1.102.910.481,,,2205820962.0,1102910481.0
d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,d) Quá hạn từ 6 tháng đến dưới 1 năm,,,,,,,,
Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,d) Quá hạn từ 6 tháng đến dưới 1 năm > Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,Công ty Cổ phần Sản xuất Ông thép Dầu khí Việt Nam,55.352.403.784,38.746.682.649,-,-,55352403784.0,38746682649.0,,
Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,d) Quá hạn từ 6 tháng đến dưới 1 năm > Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn thiết kế Dầu khí - CTCP,7.398.770.013,5.179.139.009,-,-,7398770013.0,5179139009.0,,
Công ty Cổ phần Năng lượng Đất Việt,d) Quá hạn từ 6 tháng đến dưới 1 năm > Công ty Cổ phần Năng lượng Đất Việt,Công ty Cổ phần Năng lượng Đất Việt,-,-,7.061.641.125,4.943.148.787,,,7061641125.0,4943148787.0
