row_label_raw,row_label_full,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_1,Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_2,Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_1,numeric__Năm tài chính kết thúc ngày 31 tháng 12 năm 2017 > 6. Chứng khoán đầu tư_2,numeric__Đơn vị tính: Triệu đồng Việt Nam > 31/12/2017,numeric__Đơn vị tính: Triệu đồng Việt Nam > 01/01/2017
(*) Khoản đầu tư vào trái phiếu của các công ty sau:,(*) Khoản đầu tư vào trái phiếu của các công ty sau:,(*) Khoản đầu tư vào trái phiếu của các công ty sau:,(*) Khoản đầu tư vào trái phiếu của các công ty sau:,(*) Khoản đầu tư vào trái phiếu của các công ty sau:,(*) Khoản đầu tư vào trái phiếu của các công ty sau:,(*) Khoản đầu tư vào trái phiếu của các công ty sau:,,,,
Công ty phát hành,Công ty phát hành,Công ty phát hành,Ngày đáo hạn,Lãi suất,Số lượng trái phiếu,Giá trị đầu tư,,,,
CTY TNHH MTV,Công ty phát hành > CTY TNHH MTV,CTY TNHH MTV,6/10/2020,9.7%/năm,127,127.000,,,127.0,127000.0
MasanConsumerHoldings,MasanConsumerHoldings,MasanConsumerHoldings,MasanConsumerHoldings,MasanConsumerHoldings,MasanConsumerHoldings,MasanConsumerHoldings,,,,
Công ty CP XNK Tổng hợp Hà Nội,MasanConsumerHoldings > Công ty CP XNK Tổng hợp Hà Nội,Công ty CP XNK Tổng hợp Hà Nội,4/15/2019,9.8%/năm,150,150.000,,,150.0,150000.0
Công ty CP công nghiệp quốc tế Hoàng Anh Gia Lai,MasanConsumerHoldings > Công ty CP công nghiệp quốc tế Hoàng Anh Gia Lai,Công ty CP công nghiệp quốc tế Hoàng Anh Gia Lai,12/17/2018,11.3%/năm,300,300.000,,,300.0,300000.0
Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp (DATC),MasanConsumerHoldings > Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp (DATC),Công ty Mua bán nợ và tài sản tồn động của doanh nghiệp (DATC),Năm 2023,8.9%/năm,31.554,31.554,,,31554.0,31554.0
Công ty CP Hoàng Gia DL,MasanConsumerHoldings > Công ty CP Hoàng Gia DL,Công ty CP Hoàng Gia DL,Năm 2021,11%/năm,250.000,250.000,,,250000.0,250000.0
Công ty Đầu tư xây dựng phát triển độ thị T&C,MasanConsumerHoldings > Công ty Đầu tư xây dựng phát triển độ thị T&C,Công ty Đầu tư xây dựng phát triển độ thị T&C,Năm 2021,11.5%/năm,450.000,450.000,,,450000.0,450000.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,MasanConsumerHoldings > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2023,0%/năm,28 mã,590.192,,,,590192.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,MasanConsumerHoldings > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2024,0%/năm,14 mã,30.802,,,,30802.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,MasanConsumerHoldings > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2025,0%/năm,166 mã,3.855.141,,,,3855141.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,MasanConsumerHoldings > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2026,0%/năm,43 mã,1.231.272,,,,1231272.0
Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,MasanConsumerHoldings > Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Cty TNHH 1 thành viên quản lý tài sản của các TCTD Việt Nam,Năm 2027,0%/năm,18 mã,1.085.766,,,,1085766.0
Tổng cộng,MasanConsumerHoldings > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,8.101.727,,,,8101727.0
"7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn","7. Góp vốn, đầu tư dài hạn",31/12/2017,01/01/2017,,,,
- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,- Phân tích giá trị đầu tư theo loại hình đầu tư,,,,,,
Các khoản đầu tư dài hạn khác,- Phân tích giá trị đầu tư theo loại hình đầu tư > Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,Các khoản đầu tư dài hạn khác,719.600,869.600,,,719600.0,869600.0
Dự phòng giảm giá đầu tư dài hạn,- Phân tích giá trị đầu tư theo loại hình đầu tư > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,(9.918),(6.918),,,-9918.0,-6918.0
Tổng cộng,- Phân tích giá trị đầu tư theo loại hình đầu tư > Tổng cộng,Tổng cộng,Tổng cộng,Tổng cộng,709.682,862.682,,,709682.0,862682.0
