row_label_raw,row_label_full,Công ty TNHH MTV Phú Kiên Phú Quốc,36.630.440,27.105.456,numeric__36.630.440,numeric__27.105.456
Công ty CP Phát triển nhà và Đô thị Phú Quốc,Phải thu khác > Công ty CP Phát triển nhà và Đô thị Phú Quốc,Công ty CP Phát triển nhà và Đô thị Phú Quốc,-,127.440.000,,127440000.0
Công ty CP Xây dựng C.E.O,Phải thu khác > Công ty CP Xây dựng C.E.O,Công ty CP Xây dựng C.E.O,727.173,-,727173.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải thu khác > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,4.427.268.111,12.068.473.204,4427268111.0,12068473204.0
Công ty CP Du lịch C.E.O,Phải thu khác > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,378.000.000,378.000.000,378000000.0,378000000.0
Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Phải thu khác > Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,Công ty TNHH MTV Xây dựng C.E.O Phú Quốc,-,28.692.684,,28692684.0
Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,Phải trả người bán,,
Công ty CP Du lịch C.E.O,Phải trả người bán > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,1.813.920.000,477.417.009,1813920000.0,477417009.0
Công ty TNHH C.E.O Hospitality,Phải trả người bán > Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,4.296.438.636,2.568.234.980,4296438636.0,2568234980.0
Công ty TNHH Green Phú Quốc,Phải trả người bán > Công ty TNHH Green Phú Quốc,Công ty TNHH Green Phú Quốc,-,150.297.942,,150297942.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Phải trả người bán > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,-,135.581.199,,135581199.0
Công ty TNHH Du lịch và Dịch vụ Happy Family Vân Đồn,Phải trả người bán > Công ty TNHH Du lịch và Dịch vụ Happy Family Vân Đồn,Công ty TNHH Du lịch và Dịch vụ Happy Family Vân Đồn,-,513.825.564,,513825564.0
Công ty CP Đầu tư và Phát triển Phú Quốc,Phải trả người bán > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,18.150.000,67.900.001,18150000.0,67900001.0
Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,Người mua trả tiền trước,,
Công ty TNHH C.E.O Quốc tế,Người mua trả tiền trước > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,80.310.640,80.310.640,80310640.0,80310640.0
