row_label_raw,row_label_full,Chỉ tiêu,Mã số,Thuyết minh,Năm 2024,Đơn vị tính: VND Năm 2023,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2024,numeric__Đơn vị tính: VND Năm 2023
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","2. Điều chỉnh cho các khoản > - Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)","- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,10.005.986.968,(180.526.733.226),11.0,,10005986968.0,-180526733226.0
"- Tăng, giảm chi phí trả trước","2. Điều chỉnh cho các khoản > - Tăng, giảm chi phí trả trước","- Tăng, giảm chi phí trả trước",12,,1.455.965.983,226.781.015,12.0,,1455965983.0,226781015.0
"- Tăng, giảm chứng khoán kinh doanh","2. Điều chỉnh cho các khoản > - Tăng, giảm chứng khoán kinh doanh","- Tăng, giảm chứng khoán kinh doanh",13,,,,13.0,,,
- Tiền lãi vay đã trả,2. Điều chỉnh cho các khoản > - Tiền lãi vay đã trả,- Tiền lãi vay đã trả,14,,(2.140.467.524),(325.457.015),14.0,,-2140467524.0,-325457015.0
- Thuế thu nhập doanh nghiệp đã nộp,2. Điều chỉnh cho các khoản > - Thuế thu nhập doanh nghiệp đã nộp,- Thuế thu nhập doanh nghiệp đã nộp,15,,(55.265.645),(82.588.381),15.0,,-55265645.0,-82588381.0
- Tiền chi khác từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > - Tiền chi khác từ hoạt động kinh doanh,- Tiền chi khác từ hoạt động kinh doanh,17,,(12.253.780.060),(20.651.082.814),17.0,,-12253780060.0,-20651082814.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,2. Điều chỉnh cho các khoản > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,(43.928.960.661),(315.325.399.616),20.0,,-43928960661.0,-315325399616.0
II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác","1. Tiền chi để mua sắm, xây dựng TSCĐ và các TSDH khác",21,,(76.686.572.678),(1.329.205.533),21.0,,-76686572678.0,-1329205533.0
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác","2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các TSDH khác",22,,508.425.923,-,22.0,,508425923.0,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(814.920.317.538),(1.652.138.502.865),23.0,,-814920317538.0,-1652138502865.0
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","II. Lưu chuyển tiền từ hoạt động đầu tư > 4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,974.800.000.000,575.319.502.865,24.0,,974800000000.0,575319502865.0
5. Tiền chi đầu tư góp vốn vào đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 5. Tiền chi đầu tư góp vốn vào đơn vị khác,5. Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(493.750.000.000),(851.318.154.689),25.0,,-493750000000.0,-851318154689.0
6. Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,II. Lưu chuyển tiền từ hoạt động đầu tư > 6. Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,6. Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,,44.568.233.174,-,26.0,,44568233174.0,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","II. Lưu chuyển tiền từ hoạt động đầu tư > 7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia","7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,246.226.784.278,333.800.012.624,27.0,,246226784278.0,333800012624.0
Lưu chuyển tiền thuần từ hoạt động đầu tư,II. Lưu chuyển tiền từ hoạt động đầu tư > Lưu chuyển tiền thuần từ hoạt động đầu tư,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(119.253.446.841),(1.595.666.347.598),30.0,,-119253446841.0,-1595666347598.0
III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,III. Lưu chuyển tiền từ hoạt động tài chính,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","III. Lưu chuyển tiền từ hoạt động tài chính > 1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,-,2.572.954.600.000,31.0,,,2572954600000.0
2. Tiền thu từ đi vay,III. Lưu chuyển tiền từ hoạt động tài chính > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,,117.312.399.511,153.266.975.079,33.0,,117312399511.0,153266975079.0
3. Tiền trả nợ gốc vay,III. Lưu chuyển tiền từ hoạt động tài chính > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,,(223.235.927.455),(5.972.000.000),34.0,,-223235927455.0,-5972000000.0
