row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019 > Giá gốc,Ngày 31 tháng 12 năm 2019 > Giá trị thuần,Ngày 31 tháng 12 năm 2019 > Dư phòng,Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá gốc,Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá trị thuần,Ngày 31 tháng 12 năm 2018(trình bày lại) > Dư phòng,numeric__Ngày 31 tháng 12 năm 2019 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2019 > Dư phòng,numeric__Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá gốc,numeric__Ngày 31 tháng 12 năm 2018(trình bày lại) > Giá trị thuần,numeric__Ngày 31 tháng 12 năm 2018(trình bày lại) > Dư phòng
,,,594.221.355.844,541.299.345.857,(52.922.009.987),893.556.010.080,777.553.128.959,(116.002.881.121),594221355844.0,541299345857.0,-52922009987.0,893556010080.0,777553128959.0,-116002881121.0
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,,,
Ngân hàng Thương mại Cổ phần Quản đội,Trái phiếu > Ngân hàng Thương mại Cổ phần Quản đội,Ngân hàng Thương mại Cổ phần Quản đội,120.026.959.200,120.026.959.200,-,120.026.959.200,120.026.959.200,-,120026959200.0,120026959200.0,,120026959200.0,120026959200.0,
Khác,Trái phiếu > Khác,Khác,130.374.650.323,130.374.650.323,-,30.000.000.000,30.000.000.000,-,130374650323.0,130374650323.0,,30000000000.0,30000000000.0,
,,,250.401.609.523,250.401.609.523,-,150.026.959.200,150.026.959.200,-,250401609523.0,250401609523.0,,150026959200.0,150026959200.0,
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,,,,,
BVPF,Chứng chỉ quỹ > BVPF,BVPF,77.000.000.000,77.000.000.000,-,77.000.000.000,77.000.000.000,-,77000000000.0,77000000000.0,,77000000000.0,77000000000.0,
BVBF,Chứng chỉ quỹ > BVBF,BVBF,60.000.000.000,60.000.000.000,-,60.000.000.000,60.000.000.000,-,60000000000.0,60000000000.0,,60000000000.0,60000000000.0,
BVFED,Chứng chỉ quỹ > BVFED,BVFED,55.000.000.000,55.000.000.000,-,55.000.000.000,55.000.000.000,-,55000000000.0,55000000000.0,,55000000000.0,55000000000.0,
E1VFVN30,Chứng chỉ quỹ > E1VFVN30,E1VFVN30,29.961.457.049,29.520.000.000,(441.457.049),18.510.785.394,17.172.000.000,(1.338.785.394),29961457049.0,29520000000.0,-441457049.0,18510785394.0,17172000000.0,-1338785394.0
Khác,Chứng chỉ quỹ > Khác,Khác,24.276.432.682,24.276.432.682,-,26.576.432.682,26.576.432.682,-,24276432682.0,24276432682.0,,26576432682.0,26576432682.0,
,,,246.237.889.731,245.796.432.682,(441.457.049),237.087.218.076,235.748.432.682,(1.338.785.394),246237889731.0,245796432682.0,-441457049.0,237087218076.0,235748432682.0,-1338785394.0
,,,2.831.287.386.102,2.569.081.196.101,(262.206.190.001),3.204.241.878.513,2.821.604.219.716,(382.637.658.797),2831287386102.0,2569081196101.0,-262206190001.0,3204241878513.0,2821604219716.0,-382637658797.0
