row_label_raw,row_label_full,"11. Tăng, giảm tài sản cố định hữu hình","11. Tăng, giảm tài sản cố định hữu hình_1","11. Tăng, giảm tài sản cố định hữu hình_2","11. Tăng, giảm tài sản cố định hữu hình_3","11. Tăng, giảm tài sản cố định hữu hình_4","11. Tăng, giảm tài sản cố định hữu hình_5","11. Tăng, giảm tài sản cố định hữu hình_6","numeric__11. Tăng, giảm tài sản cố định hữu hình_1","numeric__11. Tăng, giảm tài sản cố định hữu hình_2","numeric__11. Tăng, giảm tài sản cố định hữu hình_3","numeric__11. Tăng, giảm tài sản cố định hữu hình_4","numeric__11. Tăng, giảm tài sản cố định hữu hình_5","numeric__11. Tăng, giảm tài sản cố định hữu hình_6"
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,-,(14.063.907.337),-,(3.930.045.890),(17.993.953.227),,,-14063907337.0,,-3930045890.0,-17993953227.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,1.060.002.667.015,328.024.163.983,256.337.346.703,33.357.354.429,7.511.083.149.419,9.188.804.681.549,1060002667015.0,328024163983.0,256337346703.0,33357354429.0,7511083149419.0,9188804681549.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.736.686.474,6.556.330.074,6.362.986.143,7.238.798.578,1.790.270.487.471,1.812.165.288.740,1736686474.0,6556330074.0,6362986143.0,7238798578.0,1790270487471.0,1812165288740.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,24.055.757.466,12.972.105.988,13.985.169.637,696.981.073,305.844.557.167,357.554.571.331,24055757466.0,12972105988.0,13985169637.0,696981073.0,305844557167.0,357554571331.0
Tăng do hợp nhất kinh doanh,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng do hợp nhất kinh doanh,Tăng do hợp nhất kinh doanh,377.801.623.698,185.688.104.670,64.986.791.580,17.639.580.274,5.673.731.876,651.789.832.098,377801623698.0,185688104670.0,64986791580.0,17639580274.0,5673731876.0,651789832098.0
Tăng khác,Tăng khác,Tăng khác,-,-,-,-,-,-,,,,,,
"Thanh lý, nhượng bán","Tăng khác > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(45.294.657),(431.086.836),(9.347.626.552),(129.686.450),(20.692.745),(9.974.387.240),-45294657.0,-431086836.0,-9347626552.0,-129686450.0,-20692745.0,-9974387240.0
Hủy bỏ tài sản,Tăng khác > Hủy bỏ tài sản,Hủy bỏ tài sản,-,(190.909.091),-,(240.168.304),-,(431.077.395),,-190909091.0,,-240168304.0,,-431077395.0
Giảm do thoái vốn tại Công ty con,Tăng khác > Giảm do thoái vốn tại Công ty con,Giảm do thoái vốn tại Công ty con,-,(108.909.091),-,-,-,(108.909.091),,-108909091.0,,,,-108909091.0
Giảm khác,Tăng khác > Giảm khác,Giảm khác,-,-,(4.015.559.876),-,(301.979.135),(4.317.539.011),,,-4015559876.0,,-301979135.0,-4317539011.0
Số cuối năm,Tăng khác > Số cuối năm,Số cuối năm,403.548.772.981,204.485.635.714,71.971.760.932,25.205.505.171,2.101.466.104.634,2.806.677.779.432,403548772981.0,204485635714.0,71971760932.0,25205505171.0,2101466104634.0,2806677779432.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,51.760.776,9.801.675.200,3.095.668.510,1.737.088.449,5.658.136.901.085,5.672.823.094.020,51760776.0,9801675200.0,3095668510.0,1737088449.0,5658136901085.0,5672823094020.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,656.453.894.034,123.538.528.269,184.365.585.771,8.151.849.258,5.409.617.044.785,6.382.126.902.117,656453894034.0,123538528269.0,184365585771.0,8151849258.0,5409617044785.0,6382126902117.0
