row_label_raw,row_label_full,"Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_1","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_2","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_3","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_4","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_5","Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_6",Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1,Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_2,"numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_1","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_2","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_3","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_4","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_5","numeric__Công ty Cổ phần Bát động sản Thế KỹTầng 1, toa B Sky City, số 88 Láng Hạ, Phường Láng Hạ, quận Đống Đa, Thành phố Hà Nội, Việt Nam_6",numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_1,numeric__Báo cáo tài chính hợp nhấtCho năm tài chính kết thúc ngày 31/12/2021_2
Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,Trích quỹ Đầu tư phát triển,-,-,-,-,5.076.837.987,(5.076.837.987),(714.425.933),(714.425.933),,,,,,5076837987.0,-5076837987.0,-714425933.0,-714425933.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(3.553.786.590),(500.098.153),(4.053.884.743),,,,,,,-3553786590.0,-500098153.0,-4053884743.0,
Chi phí phát hành vốn,Chi phí phát hành vốn,Chi phí phát hành vốn,-,(200.550.000),-,-,-,-,-,(200.550.000),,,-200550000.0,,,,,,-200550000.0,
Truy thu thuế theo kết luận thanh tra thuế Điều chỉnh khác,Truy thu thuế theo kết luận thanh tra thuế Điều chỉnh khác,Truy thu thuế theo kết luận thanh tra thuế Điều chỉnh khác,-,-,-,-,-,(528.542.454),-,(528.542.454),,,,,,,-528542454.0,,-528542454.0,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,2.015.995.570.000,149.799.450.000,54.125.000.000,(1.080.000),99.974.426.913,1.091.343.550.880,27.095.489.672,3.438.332.407.465,,2015995570000.0,149799450000.0,54125000000.0,-1080000.0,99974426913.0,1091343550880.0,27095489672.0,3438332407465.0,
(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,(1) Vốn tăng trong năm gồm có:,1.215.995.570.000 VND,1.215.995.570.000 VND,1.215.995.570.000 VND,,,,,,,,,,
Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (*),159.999.080.000 VND,159.999.080.000 VND,159.999.080.000 VND,,,,,,,,,,
Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),Phát hành cổ phiếu chào bán cho cổ đông hiện hữu (**),911.998.100.000 VND,911.998.100.000 VND,911.998.100.000 VND,,,,,,,,,,
Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),Phát hành cổ phiếu đề trả cổ tức (**),95.998.490.000 VND,95.998.490.000 VND,95.998.490.000 VND,,,,,,,,,,
Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),Phát hành cổ phiếu theo chương trình lựa chọn nguồn lao động trong Công ty (ESOP) (**),47.999.900.000 VND,47.999.900.000 VND,47.999.900.000 VND,,,,,,,,,,
