row_label_raw,row_label_full,col_0,Giá trị giao dịchThu nhập/(chi phí),Giá trị giao dịchThu nhập/(chi phí)_1,numeric__Giá trị giao dịchThu nhập/(chi phí),numeric__Giá trị giao dịchThu nhập/(chi phí)_1
Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ),,
Doanh thu cho thuê tài sản và doanh thu khác,Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ) > Doanh thu cho thuê tài sản và doanh thu khác,Doanh thu cho thuê tài sản và doanh thu khác,558.617.294,-,558617294.0,
Chi phí tiền điện và thuê văn phòng,Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí tiền điện và thuê văn phòng,Chi phí tiền điện và thuê văn phòng,(2.374.013.320),(3.445.181.155),-2374013320.0,-3445181155.0
"Chi phí quản lý tài sản, bảo vệ, dịch vụ và chi phí khác","Công ty TNHH Quản lý nợ và khai thác tài sảnNgân hàng TMCP Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí quản lý tài sản, bảo vệ, dịch vụ và chi phí khác","Chi phí quản lý tài sản, bảo vệ, dịch vụ và chi phí khác",(253.172.680),(310.536.000),-253172680.0,-310536000.0
Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ),,
Chi phí trả lãi tiền vay,Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí trả lãi tiền vay,Chi phí trả lãi tiền vay,-,(3.564.000.000),,-3564000000.0
Chi phí bảo hiểm,Tổng Công ty Cổ Phần Bảo hiểm Quân đội(Công ty con của Ngân hàng mẹ) > Chi phí bảo hiểm,Chi phí bảo hiểm,-,(929.103.952),,-929103952.0
Công ty cổ phần Việt R.E.M.A.X(Công ty con của Ngân hàng mẹ),Công ty cổ phần Việt R.E.M.A.X(Công ty con của Ngân hàng mẹ),Công ty cổ phần Việt R.E.M.A.X(Công ty con của Ngân hàng mẹ),Công ty cổ phần Việt R.E.M.A.X(Công ty con của Ngân hàng mẹ),Công ty cổ phần Việt R.E.M.A.X(Công ty con của Ngân hàng mẹ),,
Tiền thuê văn phòng,Công ty cổ phần Việt R.E.M.A.X(Công ty con của Ngân hàng mẹ) > Tiền thuê văn phòng,Tiền thuê văn phòng,(3.786.124.705),(2.823.316.468),-3786124705.0,-2823316468.0
Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ),,
Doanh thu cho thuê văn phòng,Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ) > Doanh thu cho thuê văn phòng,Doanh thu cho thuê văn phòng,2.113.534.354,-,2113534354.0,
"Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soátLương, thường và thù lao","Công ty TNHH Bảo hiểm nhân thọ MB Ageas(Công ty con của Ngân hàng mẹ) > Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soátLương, thường và thù lao","Hội đồng Quản trị, Ban Tổng Giám đốc, Ban Kiểm soátLương, thường và thù lao",(8.007.064.537),(7.212.775.807),-8007064537.0,-7212775807.0
