row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Chứng khoán đầu tư giữ đến ngàyđáo hạn khác,31/12/2016 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 587.209,31/12/2016 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*),31/12/2015 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 340.724,31/12/2015 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 587.209,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*),numeric__31/12/2015 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 340.724,numeric__31/12/2015 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*)
• Chưa có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > • Chưa có giá niêm yết,• Chưa có giá niêm yết,1.602.706,(*),2.518.249,(*),1602706.0,,2518249.0,
"- Góp vốn, đầu tư dài hạn","Được phân loại là tài sản tài chính sẵn sàng để bán: > - Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",514.521,(*),530.530,(*),514521.0,,530530.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ:,,,,
- Các khoản nợ NHNNVN,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản nợ NHNNVN,- Các khoản nợ NHNNVN,(200.928),(*),(312.218),(*),-200928.0,,-312218.0,
- Tiền gửi và vay các tổ chức tín dụngkhác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Tiền gửi và vay các tổ chức tín dụngkhác,- Tiền gửi và vay các tổ chức tín dụngkhác,(3.477.475),(*),(1.172.538),(*),-3477475.0,,-1172538.0,
- Tiền gửi của khách hàng,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Tiền gửi của khách hàng,- Tiền gửi của khách hàng,(22.892.082),(*),(20.129.040),(*),-22892082.0,,-20129040.0,
"- Các khoản lãi, phí phải trả","Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản lãi, phí phải trả","- Các khoản lãi, phí phải trả",(401.935),(*),(285.086),(*),-401935.0,,-285086.0,
- Các khoản phải trả và công nợ khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bổ: > - Các khoản phải trả và công nợ khác,- Các khoản phải trả và công nợ khác,(64.720),(*),(39.065),(*),-64720.0,,-39065.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh:,,,,
- Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị hợp lý thông quabáo cáo kết quả hoạt động kinh doanh: > - Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,- Các công cụ tài chính phải sinh vàcác khoản nợ tài chính khác,-,(*),(555),(*),,,-555.0,
