row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),2.752.254,16.685.509,62.278.778,19.723.312,21.473.061,19.510.004,9.444.338,171.795,152.039.051,2752254.0,16685509.0,62278778.0,19723312.0,21473061.0,19510004.0,9444338.0,171795.0,152039051.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,3.423,24.384,15.182,12.728,-,-,55.717,,,3423.0,24384.0,15182.0,12728.0,,,55717.0
Tiền gửi và vay các tổ chứctín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chứctín dụng khác,Tiền gửi và vay các tổ chứctín dụng khác,-,-,6.107.530,3.970.060,1.178.840,-,-,-,11.256.430,,,6107530.0,3970060.0,1178840.0,,,,11256430.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,2.188.121,49.976.797,17.160.797,17.946.949,18.557.638,11.708.975,419,117.539.696,,2188121.0,49976797.0,17160797.0,17946949.0,18557638.0,11708975.0,419.0,117539696.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,3.000.000,-,-,-,-,-,3.000.000,,,3000000.0,,,,,,3000000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,3.266.530,-,-,-,-,-,-,3.266.530,,3266530.0,,,,,,,3266530.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,5.454.651,59.087.750,21.155.241,19.140.971,18.570.366,11.708.975,419,135.118.373,,5454651.0,59087750.0,21155241.0,19140971.0,18570366.0,11708975.0,419.0,135118373.0
Mức chênh nhạy cảm với lãi suấtnội bằng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suấtnội bằng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suấtnội bằng [(3)=(1)-(2)],2.752.254,11.230.858,3.191.028,(1.431.929),2.332.090,939.638,(2.264.637),171.376,16.920.678,2752254.0,11230858.0,3191028.0,-1431929.0,2332090.0,939638.0,-2264637.0,171376.0,16920678.0
Mức chênh nhạy cảm với lãi suấtngoại bằng (4),Mức chênh nhạy cảm với lãi suấtngoại bằng (4),Mức chênh nhạy cảm với lãi suấtngoại bằng (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtngoại bằng (4) > Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng [(5)=(3)+(4)]","Mức chênh nhạy cảm với lãi suấtnội, ngoại bằng [(5)=(3)+(4)]",2.752.254,11.230.858,3.191.028,(1.431.929),2.332.090,939.638,(2.264.637),171.376,16.920.678,2752254.0,11230858.0,3191028.0,-1431929.0,2332090.0,939638.0,-2264637.0,171376.0,16920678.0
