row_label_raw,row_label_full,Đầu tư nắm giữ đến ngày đáo hạn > Ngân hàng Thương mại Cổ phần Đại chúng Việt Nam,Số cuối nămVND > 205.000.000.000,Số đầu nămVND > -,numeric__Số cuối nămVND > 205.000.000.000,numeric__Số đầu nămVND > -
Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,77.838.125,-,77838125.0,
Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,Công ty Cổ phần Phân bón Dầu khí Cà Mau,21.790.728,-,21790728.0,
Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,-,512.170.683.046,,512170683046.0
Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,-,94.463.438,,94463438.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,9.659.937.418.442,9.791.698.022.153,9659937418442.0,9791698022153.0
Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,Tập đoàn Công nghiệp - Năng lượng Quốc gia Việt Nam,6.076.675.097.143,9.134.847.555.451,6076675097143.0,9134847555451.0
Tổng Công ty Khí Việt Nam - CTCP,Tổng Công ty Khí Việt Nam - CTCP,Tổng Công ty Khí Việt Nam - CTCP,3.468.947.118.190,538.044.764.358,3468947118190.0,538044764358.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,53.387.763.945,88.878.193.098,53387763945.0,88878193098.0
Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,Tổng Công ty Bảo hiểm PVI,24.303.652.308,24.299.048.782,24303652308.0,24299048782.0
Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,Tổng Công ty Bảo dưỡng - Sửa chữa Công trình Dầu khí,633.008.580,3.468.370.482,633008580.0,3468370482.0
Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,Trường Cao đẳng Dầu khí,188.737.450,-,188737450.0,
Trường Đại học Dầu khí Việt Nam,Trường Đại học Dầu khí Việt Nam,Trường Đại học Dầu khí Việt Nam,387.243.000,-,387243000.0,
Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,8.462.477.846,-,8462477846.0,
Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,Công ty Cổ phần Dịch vụ Bảo vệ An ninh Dầu khí Việt Nam,1.432.955.899,1.278.733.595,1432955899.0,1278733595.0
Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP,5.603.216.036,607.010.497,5603216036.0,607010497.0
Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,Tổng Công ty Dầu Việt Nam,17.345.050.065,274.345.890,17345050065.0,274345890.0
Công ty TNHH Khách sạn Dầu khí PTSC,Công ty TNHH Khách sạn Dầu khí PTSC,Công ty TNHH Khách sạn Dầu khí PTSC,1.204.462.980,-,1204462980.0,
Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,Viện Dầu khí Việt Nam,1.366.635.000,-,1366635000.0,
