row_label_raw,row_label_full,col_0,Quả hạn triệu đồng,Không ảnh hưởng thay đổi lãi suất triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quả hạn triệu đồng,numeric__Không ảnh hưởng thay đổi lãi suất triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),18.880.367,129.709.112,483.692.968,465.802.627,158.588.490,180.123.366,138.144.479,54.438.716,1.629.380.125,18880367.0,129709112.0,483692968.0,465802627.0,158588490.0,180123366.0,138144479.0,54438716.0,1629380125.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,9.709.596,33.245.461,4.519.743,-,-,-,47.474.800,,,9709596.0,33245461.0,4519743.0,,,,47474800.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,182.722.905,29.701.266,14.804.974,2.225.816,18.562.528,-,248.017.489,,,182722905.0,29701266.0,14804974.0,2225816.0,18562528.0,,248017489.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,488.870.849,125.378.267,182.115.797,110.978.431,14.007.355,17.433,921.368.132,,,488870849.0,125378267.0,182115797.0,110978431.0,14007355.0,17433.0,921368132.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,-,(113.749),638.575,74.611,(11.784),110.854,-,698.507,,,-113749.0,638575.0,74611.0,-11784.0,110854.0,,698507.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",-,-,710.625,1.645.857,310.067,1.242.322,3.962,-,3.912.833,,,710625.0,1645857.0,310067.0,1242322.0,3962.0,,3912833.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,5.844.402,28.291.587,19.187.149,44.816.310,70.174.893,18.921.763,187.236.104,,,5844402.0,28291587.0,19187149.0,44816310.0,70174893.0,18921763.0,187236104.0
Các khoản nợ khác (*),Nợ phải trả > Các khoản nợ khác (*),Các khoản nợ khác (*),-,65.031.349,-,-,-,-,-,-,65.031.349,,65031349.0,,,,,,,65031349.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,65.031.349,687.744.628,218.901.013,221.012.341,159.251.095,102.859.592,18.939.196,1.473.739.214,,65031349.0,687744628.0,218901013.0,221012341.0,159251095.0,102859592.0,18939196.0,1473739214.0
Mức chênh nhạy cảm với lãi suất nội bằng (3) = (1) – (2),Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bằng (3) = (1) – (2),Mức chênh nhạy cảm với lãi suất nội bằng (3) = (1) – (2),18.880.367,64.677.763,(204.051.660),246.901.614,(62.423.851),20.872.271,35.284.887,35.499.520,155.640.911,18880367.0,64677763.0,-204051660.0,246901614.0,-62423851.0,20872271.0,35284887.0,35499520.0,155640911.0
Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4),-,-,-,-,-,-,-,-,-,,,,,,,,,
"Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)","Các cam kết ngoại bảng có tác động tới mức độ nhạy cảm với lãi suất của các tài sản và công nợ (ròng) (4) > Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)","Mức chênh nhạy cảm với lãi suất nội, ngoại bảng (5) = (3) + (4)",18.880.367,64.677.763,(204.051.660),246.901.614,(62.423.851),20.872.271,35.284.887,35.499.520,155.640.911,18880367.0,64677763.0,-204051660.0,246901614.0,-62423851.0,20872271.0,35284887.0,35499520.0,155640911.0
