row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Quá hạn > Ngày 31 tháng 12 năm 2021,Không chịu lãi suất > Ngày 31 tháng 12 năm 2021,Dưới 1 tháng > Ngày 31 tháng 12 năm 2021,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2021,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2021,Trên 5 năm > Ngày 31 tháng 12 năm 2021,Tổng cộng > Ngày 31 tháng 12 năm 2021,numeric__Quá hạn > Ngày 31 tháng 12 năm 2021,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2021,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2021,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2021,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2021,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2021
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.742.477,26.095.947,117.912.949,106.575.712,34.436.157,38.483.233,23.714.826,21.267.672,377.228.973,8742477.0,26095947.0,117912949.0,106575712.0,34436157.0,38483233.0,23714826.0,21267672.0,377228973.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ Chính phủ và NHNN,Nợ phải trả > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,-,-,189,92.467,-,-,-,-,92.656,,,189.0,92467.0,,,,,92656.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,79.243.931,13.741.575,8.310.390,4.801.686,1.145.000,-,107.242.582,,,79243931.0,13741575.0,8310390.0,4801686.0,1145000.0,,107242582.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,458.101,54.380.581,39.809.528,48.302.371,36.345.183,3.986.445,908,183.283.117,,458101.0,54380581.0,39809528.0,48302371.0,36345183.0,3986445.0,908.0,183283117.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,15.550,-,-,-,-,-,-,15.550,,15550.0,,,,,,,15550.0
"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,876,2.864.582,-,-,-,71.406,2.936.864,,,876.0,2864582.0,,,,71406.0,2936864.0
Phát hành giấy tờ có giả,Nợ phải trả > Phát hành giấy tờ có giả,Phát hành giấy tờ có giả,-,-,130.000,840.000,4.144.949,3.219.800,32.062.749,2.358.615,42.756.113,,,130000.0,840000.0,4144949.0,3219800.0,32062749.0,2358615.0,42756113.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,7.494.576,-,-,-,-,-,-,7.494.576,,7494576.0,,,,,,,7494576.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,7.968.227,133.755.577,57.348.152,60.757.710,44.366.669,37.194.194,2.430.929,343.821.458,,7968227.0,133755577.0,57348152.0,60757710.0,44366669.0,37194194.0,2430929.0,343821458.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,8.742.477,18.127.720,(15.842.628),49.227.560,(26.321.553),(5.883.436),(13.479.368),18.836.743,33.407.515,8742477.0,18127720.0,-15842628.0,49227560.0,-26321553.0,-5883436.0,-13479368.0,18836743.0,33407515.0
