row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm(Trình bày lại)
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,14,1.346.076.355,3.641.199.132,227.0,14.0,1346076355.0,3641199132.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,14.894.055.361,14.520.806.561,228.0,,14894055361.0,14520806561.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(13.547.979.006),(10.879.607.429),229.0,,-13547979006.0,-10879607429.0
III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,III. Tài sản dở dang dài hạn,240,,635.700.153.017,700.748.493.413,240.0,,635700153017.0,700748493413.0
1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,1. Chi phí xây dựng cơ bản dở dang,242,15,635.700.153.017,700.748.493.413,242.0,15.0,635700153017.0,700748493413.0
IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,IV. Đầu tư tài chính dài hạn,250,16,2.433.244.434.914,2.497.233.873.627,250.0,16.0,2433244434914.0,2497233873627.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,60.000.000.000,1.683.833.743.327,251.0,,60000000000.0,1683833743327.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,2.189.744.434.914,616.410.897.541,252.0,,2189744434914.0,616410897541.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,184.800.000.000,198.289.232.759,253.0,,184800000000.0,198289232759.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(1.300.000.000),(1.300.000.000),254.0,,-1300000000.0,-1300000000.0
V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,V. Tài sản dài hạn khác,260,,143.580.456.725,138.377.029.212,260.0,,143580456725.0,138377029212.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,12,57.829.340.022,70.860.399.281,261.0,12.0,57829340022.0,70860399281.0
2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,2. Tài sản thuế thu nhập hoãn lại,262,17,85.751.116.703,67.516.629.931,262.0,17.0,85751116703.0,67516629931.0
TỔNG CỘNG TÀI SẢN(270=100+200),TỔNG CỘNG TÀI SẢN(270=100+200),TỔNG CỘNG TÀI SẢN(270=100+200),270,,48.760.917.755.284,45.806.523.342.441,270.0,,48760917755284.0,45806523342441.0
