row_label_raw,row_label_full,col_0,CHỈ TIÊU,Mã số,Năm nay,Từ 01/4/2016 đến 31/12/2016 (Trình bày lại),numeric__CHỈ TIÊU,numeric__Mã số,numeric__Năm nay,numeric__Từ 01/4/2016 đến 31/12/2016 (Trình bày lại)
II.,II.,II.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
1.,II. > 1.,1.,"Tiền chi mua sắm, xây dựng tài sản cố định",21,(1.364.822.519.753),(2.050.115.191.567),,21.0,-1364822519753.0,-2050115191567.0
2.,II. > 2.,2.,"Tiền thu thanh lý, nhượng bán tài sản cố định",22,21.540.171.005,109.084.584,,22.0,21540171005.0,109084584.0
3.,II. > 3.,3.,Tiền mua công cụ nợ của đơn vị khác,23,(12.408.000.000.000),(5.100.000.000.000),,23.0,-12408000000000.0,-5100000000000.0
4.,II. > 4.,4.,Tiền bán lại công cụ nợ của đơn vị khác,24,8.423.000.000.000,3.774.900.000.000,,24.0,8423000000000.0,3774900000000.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,-,(30.500.646.407),,25.0,,-30500646407.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,26,42.771.360.000,146.472.194.028,,26.0,42771360000.0,146472194028.0
7.,II. > 7.,7.,"Tiền thu lãi tiền gửi, cổ tức và lợi nhuận được chia",27,1.140.226.846.693,787.013.504.779,,27.0,1140226846693.0,787013504779.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,(4.145.284.142.055),(2.472.121.054.583),,30.0,-4145284142055.0,-2472121054583.0
III.,III.,III.,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍN,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍN,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍN,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍN,,,,
1.,III. > 1.,1.,Tiền thu từ đi vay,33,31.402.837.049,8.205.652.246,,33.0,31402837049.0,8205652246.0
2.,III. > 2.,2.,Tiền trả nợ gốc vay,34,(145.760.637.817),(78.807.316.282),,34.0,-145760637817.0,-78807316282.0
3.,III. > 3.,3.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(1.306.211.897.430),(2.602.319.905.854),,36.0,-1306211897430.0,-2602319905854.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.420.569.698.198),(2.672.921.569.890),,40.0,-1420569698198.0,-2672921569890.0
,,,Lưu chuyển tiền thuần trong năm/kỳ\( (50=20+30+40) \),50,(1.366.886.462.166),245.784.008.354,,50.0,-1366886462166.0,245784008354.0
,,,Tiền và tương đương tiền đầu năm/kỳ,60,2.674.793.260.611,2.413.453.826.323,,60.0,2674793260611.0,2413453826323.0
,,,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi,61,(67.537.268),15.555.425.934,,61.0,-67537268.0,15555425934.0
,,,Tiền và tương đương tiền cuối năm/kỳ\( (70=50+60+61) \),70,1.307.839.261.177,2.674.793.260.611,,70.0,1307839261177.0,2674793260611.0
