row_label_raw,row_label_full,col_0,Miền Nam VND,Miền Bắc VND,Miền Trung VND,Loại trừ VND,Tổng công VND,numeric__Miền Nam VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Loại trừ VND,numeric__Tổng công VND
2. Chi phí khấu hao tài sản cố định,II. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(89.867.785.359),(6.852.117.135),(6.879.669.297),,(103.599.571.791),-89867785359.0,-6852117135.0,-6879669297.0,,-103599571791.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(5.014.437.714.710),(484.889.583.344),(386.554.373.476),903.319.503.251,(4.982.562.168.279),-5014437714710.0,-484889583344.0,-386554373476.0,903319503251.0,-4982562168279.0
Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,II. Chi phí > Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,Kết quả hoạt động trước chi phí dự phòng rủi ro tín dụng,4.510.909.965.101,688.767.654.905,565.788.887.018,-,5.765.466.507.024,4510909965101.0,688767654905.0,565788887018.0,,5765466507024.0
Chi phí dự phòng rủi ro tín dụng,II. Chi phí > Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(1.593.996.678.399),68.423.993.774,(101.652.680.598),-,(1.627.225.365.223),-1593996678399.0,68423993774.0,-101652680598.0,,-1627225365223.0
Kết quả hoạt động bộ phận,II. Chi phí > Kết quả hoạt động bộ phận,Kết quả hoạt động bộ phận,2.916.913.286.702,757.191.648.679,464.136.206.420,-,4.138.241.141.801,2916913286702.0,757191648679.0,464136206420.0,,4138241141801.0
III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,III. Tài sản,,,,,
1. Tiền mặt và vàng,III. Tài sản > 1. Tiền mặt và vàng,1. Tiền mặt và vàng,492.230.160.611,170.477.178.098,117.026.224.377,-,779.733.563.086,492230160611.0,170477178098.0,117026224377.0,,779733563086.0
2. Tài sản cố định,III. Tài sản > 2. Tài sản cố định,2. Tài sản cố định,434.757.419.218,38.536.767.964,80.364.977.468,-,553.659.164.650,434757419218.0,38536767964.0,80364977468.0,,553659164650.0
3. Tài sản khác,III. Tài sản > 3. Tài sản khác,3. Tài sản khác,199.794.245.798.969,25.165.530.548.586,13.844.885.860.141,-,238.804.662.207.696,199794245798969.0,25165530548586.0,13844885860141.0,,238804662207696.0
Tổng tài sản,III. Tài sản > Tổng tài sản,Tổng tài sản,200.721.233.378.798,25.374.544.494.648,14.042.277.061.986,-,240.138.054.935.432,200721233378798.0,25374544494648.0,14042277061986.0,,240138054935432.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,
1. Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > 1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,(173.263.121.379.199),(24.618.225.529.153),(13.578.140.855.566),-,(211.459.487.763.918),-173263121379199.0,-24618225529153.0,-13578140855566.0,,-211459487763918.0
2. Nợ phải trả nội bộ,IV. Nợ phải trả > 2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,(8.355.993.396),-,-,-,(8.355.993.396),-8355993396.0,,,,-8355993396.0
3. Nợ phải trả khác,IV. Nợ phải trả > 3. Nợ phải trả khác,3. Nợ phải trả khác,(135.612.076.459),-,-,-,(135.612.076.459),-135612076459.0,,,,-135612076459.0
Tổng nợ phải trả,IV. Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,(173.407.089.449.054),(24.618.225.529.153),(13.578.140.855.566),-,(211.603.455.833.773),-173407089449054.0,-24618225529153.0,-13578140855566.0,,-211603455833773.0
