row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị thuần,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị thuần,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị thuần,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị thuần
Công ty Cổ phần Long Bình,Đầu tư vào công ty con > Công ty Cổ phần Long Bình,Công ty Cổ phần Long Bình,6.096.584.122,-,6.096.584.122,6.096.584.122,-,6.096.584.122,6096584122.0,,6096584122.0,6096584122.0,,6096584122.0
Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,Công ty Cổ phần Giống Lâm nghiệp vùng Tây Nguyên,5.125.155.489,-,5.125.155.489,5.125.155.489,-,5.125.155.489,5125155489.0,,5125155489.0,5125155489.0,,5125155489.0
Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quất (**),Đầu tư vào công ty con > Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quất (**),Công ty TNHH MTV Chế biến gỗ và đảm gỗ Dung Quất (**),4.627.945.602,(4.625.605.602),2.340.000,-,-,-,4627945602.0,-4625605602.0,2340000.0,,,
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Trung Bộ,2.832.748.199,-,2.832.748.199,2.832.748.199,-,2.832.748.199,2832748199.0,,2832748199.0,2832748199.0,,2832748199.0
Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tỉnh,Đầu tư vào công ty con > Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tỉnh,Công ty Cổ phần Lâm đặc sản và Xuất nhập khẩu Hà Tỉnh,2.094.477.881,(2.094.477.881),-,2.094.477.881,(763.796.968),1.330.680.913,2094477881.0,-2094477881.0,,2094477881.0,-763796968.0,1330680913.0
Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Bắc Bộ,1.742.656.825,-,1.742.656.825,1.742.656.825,-,1.742.656.825,1742656825.0,,1742656825.0,1742656825.0,,1742656825.0
Công ty Cổ phần Vinafor Vinh,Đầu tư vào công ty con > Công ty Cổ phần Vinafor Vinh,Công ty Cổ phần Vinafor Vinh,1.626.640.618,(329.108.163),1.297.532.455,1.626.640.618,(342.502.060),1.284.138.558,1626640618.0,-329108163.0,1297532455.0,1626640618.0,-342502060.0,1284138558.0
Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,Công ty Cổ phần Giống Lâm nghiệp vùng Nam Trung Bộ,1.491.724.378,-,1.491.724.378,1.491.724.378,-,1.491.724.378,1491724378.0,,1491724378.0,1491724378.0,,1491724378.0
Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Đầu tư vào công ty con > Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,Công ty Cổ phần Giống Lâm nghiệp vùng Đông Bắc,517.537.629,-,517.537.629,517.537.629,(48.574.998),468.962.631,517537629.0,,517537629.0,517537629.0,-48574998.0,468962631.0
Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Đầu tư vào công ty con > Công ty TNHH MTV Ván dán Vinafor Bắc Giang,Công ty TNHH MTV Ván dán Vinafor Bắc Giang,239.873.716,-,239.873.716,239.873.716,-,239.873.716,239873716.0,,239873716.0,239873716.0,,239873716.0
,,,427.537.505.908,(22.588.349.881),404.949.156.027,413.010.198.449,(12.428.068.422),400.582.130.027,427537505908.0,-22588349881.0,404949156027.0,413010198449.0,-12428068422.0,400582130027.0
