row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ khác thuộc vốn Chủ sở hữu,Lợi nhuận chưa phân phối,Nguồn vốn đầu tư Xây dựng cơ bản,Quỹ hỗ trợ xếp xếp doanh nghiệp,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ khác thuộc vốn Chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Nguồn vốn đầu tư Xây dựng cơ bản,numeric__Quỹ hỗ trợ xếp xếp doanh nghiệp,numeric__Cộng
Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,-,-,-,-,(11.242.970.750),-,-,(11.242.970.750),,,,,-11242970750.0,,,-11242970750.0
Trích quỹ khen thưởng ban điều hành từ LN năm nay,Trích quỹ khen thưởng ban điều hành từ LN năm nay,Trích quỹ khen thưởng ban điều hành từ LN năm nay,-,-,-,-,(684.370.375),-,-,(684.370.375),,,,,-684370375.0,,,-684370375.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,26.166.499.106.975,4.015.950.433.218,28.858.459.394,121.472.431.462,2.575.714.715,4.641.659.654.887,980.050.000,34.977.995.850.651,26166499106975.0,4015950433218.0,28858459394.0,121472431462.0,2575714715.0,4641659654887.0,980050000.0,34977995850651.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,26.166.499.106.975,4.015.950.433.218,-,150.330.890.856,2.575.714.715,4.641.659.654.887,980.050.000,34.977.995.850.651,26166499106975.0,4015950433218.0,,150330890856.0,2575714715.0,4641659654887.0,980050000.0,34977995850651.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,-,-,-,35.672.738.260,-,7.120.576.482,-,42.793.314.742,,,,35672738260.0,,7120576482.0,,42793314742.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,-,87.841.298.482,-,-,87.841.298.482,,,,,87841298482.0,,,87841298482.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,22.050.198.881,-,-,(22.050.198.881),-,-,-,,22050198881.0,,,-22050198881.0,,,
Tăng quỹ từ các đơn vị thành viên,Tăng quỹ từ các đơn vị thành viên,Tăng quỹ từ các đơn vị thành viên,-,321.676.653.973,-,-,-,-,-,321.676.653.973,,321676653973.0,,,,,,321676653973.0
Lợi nhuận nộp về ngân sách,Lợi nhuận nộp về ngân sách,Lợi nhuận nộp về ngân sách,-,-,-,-,(47.685.810.857),-,-,(47.685.810.857),,,,,-47685810857.0,,,-47685810857.0
Chia LN hợp tác kinh doanh dự án 381 Bến Chương Dương,Chia LN hợp tác kinh doanh dự án 381 Bến Chương Dương,Chia LN hợp tác kinh doanh dự án 381 Bến Chương Dương,-,-,-,-,(15.907.849.113),-,-,(15.907.849.113),,,,,-15907849113.0,,,-15907849113.0
Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,Trích quỹ KTPL từ LN năm nay,-,-,-,-,(3.764.653.200),-,-,(3.764.653.200),,,,,-3764653200.0,,,-3764653200.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,(35.829.562.515),-,-,-,(35.829.562.515),,,,-35829562515.0,,,,-35829562515.0
Phân phối quỹ,Phân phối quỹ,Phân phối quỹ,,(2.205.019.888),,2.205.019.888,,,,,,-2205019888.0,,2205019888.0,,,,
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,-,-,-,-,-,-,3.462.774,3.462.774,,,,,,,3462774.0,3462774.0
Nhận tải sản từ địa phương,Nhận tải sản từ địa phương,Nhận tải sản từ địa phương,-,103.759.801,-,-,-,-,-,103.759.801,,103759801.0,,,,,,103759801.0
Bàn giao tài sản về địa phương,Bàn giao tài sản về địa phương,Bàn giao tài sản về địa phương,,(244.995.365.702),,,,,,(244.995.365.702),,-244995365702.0,,,,,,-244995365702.0
Giảm khác,Giảm khác,Giảm khác,-,(35.569.278),-,-,-,-,-,(35.569.278),,-35569278.0,,,,,,-35569278.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,26.166.499.106.975,4.112.545.091.005,-,152.379.086.489,1.008.501.146,4.648.780.231.369,983.512.774,35.082.195.529.758,26166499106975.0,4112545091005.0,,152379086489.0,1008501146.0,4648780231369.0,983512774.0,35082195529758.0
