row_label_raw,row_label_full,STT,Tên đơn vị,Tỷ lệ % sở hữu của Tập đoàn > 31/12/2016,Tỷ lệ % sở hữu của Tập đoàn > 1/1/2016,Giá trị đầu tư theo mệnh giá VND > 31/12/2016,Giá trị đầu tư theo mệnh giá VND > 1/1/2016,numeric__Tên đơn vị,numeric__Tỷ lệ % sở hữu của Tập đoàn > 31/12/2016,numeric__Tỷ lệ % sở hữu của Tập đoàn > 1/1/2016,numeric__Giá trị đầu tư theo mệnh giá VND > 31/12/2016,numeric__Giá trị đầu tư theo mệnh giá VND > 1/1/2016
29,Công ty liên kết của Tổng Công ty CP Phong Phú > 29,29,Công ty CP đầu tư phát triển Phong Phú,"13,73%","13,73%",50.000.000.000,50.000.000.000,,0.1373,0.1373,50000000000.0,50000000000.0
30,Công ty liên kết của Tổng Công ty CP Phong Phú > 30,30,Công ty CP đầu tư phát triển nhà và đô thị HUD Sài Gòn,"10,97%","10,97%",10.000.000.000,10.000.000.000,,0.1097,0.1097,10000000000.0,10000000000.0
31,Công ty liên kết của Tổng Công ty CP Phong Phú > 31,31,Công ty CP May Đà Lạt,"20,40%","20,40%",4.231.000.000,4.231.000.000,,0.204,0.204,4231000000.0,4231000000.0
32,Công ty liên kết của Tổng Công ty CP Phong Phú > 32,32,Công ty TNHH Xây dựng Phong Đức,"17,85%","17,85%",3.500.000.000,3.500.000.000,,0.17850000000000002,0.17850000000000002,3500000000.0,3500000000.0
33,Công ty liên kết của Tổng Công ty CP Phong Phú > 33,33,Công ty CP phát triển Nhà và Đầu tư Đô thị Phú Quốc (i),-,"13,56%",-,17.700.000.000,,,0.1356,,17700000000.0
34,Công ty liên kết của Tổng Công ty CP Phong Phú > 34,34,Công ty CP Phát triển Nhà Phong Phú - Daewoon - Thủ Đức,"24,30%","24,30%",144.586.200.608,144.586.200.608,,0.243,0.243,144586200608.0,144586200608.0
35,Công ty liên kết của Tổng Công ty CP Phong Phú > 35,35,Công ty CP Phát triển Phong Phú Lăng Cô,"19,59%","19,59%",7.299.000.000,7.299.000.000,,0.1959,0.1959,7299000000.0,7299000000.0
36,Công ty liên kết của Tổng Công ty CP Phong Phú > 36,36,Công ty CP Xúc tiến Thương mại và Đầu tư Phong Phú (v),"24,22%",-,8.011.203.600,-,,0.2422,,8011203600.0,
37,Công ty liên kết của Tổng Công ty CP Phong Phú > 37,37,Công ty CP may Gia Phúc (v),"12,75%",-,5.000.000.000,-,,0.1275,,5000000000.0,
38,Công ty liên kết của Tổng Công ty CP Phong Phú > 38,38,Công ty CP đầu tư Phong Vân (vii),"24,40%",-,18.994.120.000,,,0.244,,18994120000.0,
