row_label_raw,row_label_full,Chỉ tiêu,Mã số,Số đã báo cáo > VND,Số trình bày lại > VND,Thay đổi > VND,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__Số trình bày lại > VND,numeric__Thay đổi > VND
14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),14. Lợi nhuận khác (40=31-32),40,16.426.620.724,112.420.115.263,95.993.494.539,40.0,16426620724.0,112420115263.0,95993494539.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),,8.789.031.760.266,8.973.381.914.971,184.350.154.705,,8789031760266.0,8973381914971.0,184350154705.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,1.842.007.882.476,1.878.855.703.399,36.847.820.923,51.0,1842007882476.0,1878855703399.0,36847820923.0
17. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,17. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,17. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,52,(142.984.439.400),(142.847.800.553),136.638.847,52.0,-142984439400.0,-142847800553.0,136638847.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,7.090.008.317.190,7.237.374.012.125,147.365.694.935,60.0,7090008317190.0,7237374012125.0,147365694935.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,5.538.999.343,5.538.999.343,-,,5538999343.0,5538999343.0,
Lợi nhuận của Công ty mẹ,Lợi nhuận của Công ty mẹ,Lợi nhuận của Công ty mẹ,,7.084.469.317.847,7.231.835.012.782,147.365.694.935,,7084469317847.0,7231835012782.0,147365694935.0
- Lợi nhuận của Tổng Công ty,- Lợi nhuận của Tổng Công ty,- Lợi nhuận của Tổng Công ty,,6.192.777.307.875,6.337.575.237.703,144.797.929.828,,6192777307875.0,6337575237703.0,144797929828.0
- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý,- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý,- Lợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý,,891.692.009.972,894.259.775.079,2.567.765.107,,891692009972.0,894259775079.0,2567765107.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,,2.845,2.580,(265),,2845.0,2580.0,-265.0
