row_label_raw,row_label_full,Chỉ tiêu,Mã số,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND,numeric__Mã số,numeric__Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số đã báo cáo > VND,numeric__Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Số trình bày lại > VND,numeric__Bảng cân đối kế toán hợp nhất tại ngày 31 tháng 12 năm 2022 > Thay đổi > VND
10. Thuế và các khoản khác phải thu Nhà nước,10. Thuế và các khoản khác phải thu Nhà nước,10. Thuế và các khoản khác phải thu Nhà nước,153,17.809.548.766,17.809.548.766,-,153.0,17809548766.0,17809548766.0,
TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,TÀI SẢN DÀI HẠN,200,19.800.521.132.450,19.884.489.698.973,83.968.566.523,200.0,19800521132450.0,19884489698973.0,83968566523.0
1. Các khoản phải thu dài hạn,1. Các khoản phải thu dài hạn,1. Các khoản phải thu dài hạn,210,265.501.804.717,265.501.804.717,-,210.0,265501804717.0,265501804717.0,
2. Tài sản cố định hữu hình,2. Tài sản cố định hữu hình,2. Tài sản cố định hữu hình,221,11.743.098.917.662,11.745.085.233.289,1.986.315.627,221.0,11743098917662.0,11745085233289.0,1986315627.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,45.056.915.278.053,44.982.305.865.198,(74.609.412.855),222.0,45056915278053.0,44982305865198.0,-74609412855.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,(33.313.816.360.391),(33.237.220.631.909),76.595.728.482,223.0,-33313816360391.0,-33237220631909.0,76595728482.0
3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,3. Tài sản cố định vô hình,227,753.793.619,753.793.619,-,227.0,753793619.0,753793619.0,
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,22.367.636.282,22.367.636.282,-,228.0,22367636282.0,22367636282.0,
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,(21.613.842.663),(21.613.842.663),-,229.0,-21613842663.0,-21613842663.0,
4. Chi phí xây dựng cơ bản dở dang,4. Chi phí xây dựng cơ bản dở dang,4. Chi phí xây dựng cơ bản dở dang,242,4.681.667.319.437,4.761.336.391.800,79.669.072.363,242.0,4681667319437.0,4761336391800.0,79669072363.0
5. Đầu tư tài chính dài hạn,5. Đầu tư tài chính dài hạn,5. Đầu tư tài chính dài hạn,250,2.796.013.204.185,2.796.013.204.185,-,250.0,2796013204185.0,2796013204185.0,
6. Chi phí trả trước dài hạn,6. Chi phí trả trước dài hạn,6. Chi phí trả trước dài hạn,261,146.197.646.380,148.647.463.760,2.449.817.380,261.0,146197646380.0,148647463760.0,2449817380.0
7. Tài sản thuế thu nhập hoãn lại,7. Tài sản thuế thu nhập hoãn lại,7. Tài sản thuế thu nhập hoãn lại,262,167.288.446.450,167.151.807.603,(136.638.847),262.0,167288446450.0,167151807603.0,-136638847.0
TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,TỔNG CỘNG TÀI SẢN,270,60.101.549.660.704,60.192.974.852.183,91.425.191.479,270.0,60101549660704.0,60192974852183.0,91425191479.0
