row_label_raw,row_label_full,6. Cho vay khách hàng,6. Cho vay khách hàng_1,6. Cho vay khách hàng_2,numeric__6. Cho vay khách hàng_1,numeric__6. Cho vay khách hàng_2
Tổng cộng,6.1. Phân tích chất lượng nợ cho vay > Tổng cộng,Tổng cộng,13.671.099,14.105.444,13671099.0,14105444.0
6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,6.2. Phân tích dư nợ theo thời gian,,
,,,31/12/2018,31/12/2017,,
Nợ ngắn hạn,6.2. Phân tích dư nợ theo thời gian > Nợ ngắn hạn,Nợ ngắn hạn,9.965.841,10.590.709,9965841.0,10590709.0
Nợ trung hạn,6.2. Phân tích dư nợ theo thời gian > Nợ trung hạn,Nợ trung hạn,1.597.775,1.562.469,1597775.0,1562469.0
Nợ dài hạn,6.2. Phân tích dư nợ theo thời gian > Nợ dài hạn,Nợ dài hạn,2.107.483,1.952.266,2107483.0,1952266.0
Tổng cộng,6.2. Phân tích dư nợ theo thời gian > Tổng cộng,Tổng cộng,13.671.099,14.105.444,13671099.0,14105444.0
6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp,,
,,,31/12/2018,31/12/2017,,
Công ty nhà nước,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty nhà nước,Công ty nhà nước,32.638,11.717,32638.0,11717.0
Công ty TNHH 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty TNHH 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,Công ty TNHH 1 thành viên do nhà nước sở hữu 100% vốn điều lệ,53.414,950,53414.0,950.0
Công ty TNHH 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty TNHH 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền,Công ty TNHH 2 thành viên trở lên có phần vốn góp của nhà nước trên 50% vốn điều lệ hoặc nhà nước giữ quyền,,47.208,,47208.0
Công ty trách nhiệm hữu hạn khác,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty trách nhiệm hữu hạn khác,Công ty trách nhiệm hữu hạn khác,3.026.884,3.312.116,3026884.0,3312116.0
Công ty có vốn CP của NN chiếm trên 50%VDL hoặc tổng số CP có quyền biểu; hoặc NN nấm giữ quyền chi phối với công ty trong Điều lệ của công ty,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty có vốn CP của NN chiếm trên 50%VDL hoặc tổng số CP có quyền biểu; hoặc NN nấm giữ quyền chi phối với công ty trong Điều lệ của công ty,Công ty có vốn CP của NN chiếm trên 50%VDL hoặc tổng số CP có quyền biểu; hoặc NN nấm giữ quyền chi phối với công ty trong Điều lệ của công ty,,1.475,,1475.0
Công ty có phần,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Công ty có phần,Công ty có phần,840.741,857.427,840741.0,857427.0
Doanh nghiệp tư nhân,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Doanh nghiệp tư nhân,Doanh nghiệp tư nhân,90.933,179.131,90933.0,179131.0
Doanh nghiệp có vốn đầu tư nước ngoài,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Doanh nghiệp có vốn đầu tư nước ngoài,Doanh nghiệp có vốn đầu tư nước ngoài,602,2.109,602.0,2109.0
Hợp tác xã và liên hợp tác xã,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Hợp tác xã và liên hợp tác xã,Hợp tác xã và liên hợp tác xã,35.403,43.062,35403.0,43062.0
"Hộ kinh doanh, cá nhân","6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Hộ kinh doanh, cá nhân","Hộ kinh doanh, cá nhân",9.309.085,9.359.315,9309085.0,9359315.0
Đơn vị hành chính sự nghiệp; Đăng đoàn thể và hiệp hồi,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Đơn vị hành chính sự nghiệp; Đăng đoàn thể và hiệp hồi,Đơn vị hành chính sự nghiệp; Đăng đoàn thể và hiệp hồi,281.399,290.934,281399.0,290934.0
Tổng cộng,6.3. Phân tích dư nợ cho vay theo đối tượng khách hàng và theo loại hình doanh nghiệp > Tổng cộng,Tổng cộng,13.671.099,14.105.444,13671099.0,14105444.0
