row_label_raw,row_label_full,col_0,Hoạt động ngân hàng triệu đồng,Hoạt động công ty tài chính triệu đồng,Hoạt động quản lý nợ và khai thác tài sản triệu đồng,Hoạt động chứng khoán triệu đồng,Hoạt động kinh doanh bảo hiểm triệu đồng,Điều chỉnh nội bộ triệu đồng,Tổng cộng triệu đồng,numeric__Hoạt động ngân hàng triệu đồng,numeric__Hoạt động công ty tài chính triệu đồng,numeric__Hoạt động quản lý nợ và khai thác tài sản triệu đồng,numeric__Hoạt động chứng khoán triệu đồng,numeric__Hoạt động kinh doanh bảo hiểm triệu đồng,numeric__Điều chỉnh nội bộ triệu đồng,numeric__Tổng cộng triệu đồng
Kết quả kinh doanh bộ phận III. Tài sản,II. Chi phí > Kết quả kinh doanh bộ phận III. Tài sản,Kết quả kinh doanh bộ phận III. Tài sản,24.005.064,(3.120.990),3.456,541.661,(5.148),(203.911),21.220.132,24005064.0,-3120990.0,3456.0,541661.0,-5148.0,-203911.0,21220132.0
Tiền mặt,II. Chi phí > Tiền mặt,Tiền mặt,2.658.493,-,-,-,-,-,2.658.493,2658493.0,,,,,,2658493.0
Tài sản cố định,II. Chi phí > Tài sản cố định,Tài sản cố định,1.465.260,374.325,-,11.762,6.640,139,1.858.126,1465260.0,374325.0,,11762.0,6640.0,139.0,1858126.0
Tài sản khác,II. Chi phí > Tài sản khác,Tài sản khác,584.087.824,76.097.923,163.403,16.104.975,1.294.668,(51.252.526),626.496.267,584087824.0,76097923.0,163403.0,16104975.0,1294668.0,-51252526.0,626496267.0
,,,588.211.577,76.472.248,163.403,16.116.737,1.301.308,(51.252.387),631.012.886,588211577.0,76472248.0,163403.0,16116737.0,1301308.0,-51252387.0,631012886.0
IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,IV. Nợ phải trả,,,,,,,
Nợ phải trả khách hàng bên ngoài,IV. Nợ phải trả > Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,485.416.300,61.525.309,88,433.380,(150),(29.677.343),517.697.584,485416300.0,61525309.0,88.0,433380.0,-150.0,-29677343.0,517697584.0
Nợ phải trả nội bộ,IV. Nợ phải trả > Nợ phải trả nội bộ,Nợ phải trả nội bộ,164.738,78.475,500,17.306,-,-,261.019,164738.0,78475.0,500.0,17306.0,,,261019.0
Nợ phải trả khác,IV. Nợ phải trả > Nợ phải trả khác,Nợ phải trả khác,7.082.934,1.587.531,27.983,228.446,796.133,(170.664),9.552.363,7082934.0,1587531.0,27983.0,228446.0,796133.0,-170664.0,9552363.0
,,,492.663.972,63.191.315,28.571,679.132,795.983,(29.848.007),527.510.966,492663972.0,63191315.0,28571.0,679132.0,795983.0,-29848007.0,527510966.0
