row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 triệu đồng,Ngày 31 tháng 12 năm 2021 triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 triệu đồng
Chứng khoán đầu tư,TÀI SẢN > Chứng khoán đầu tư,Chứng khoán đầu tư,,83.075.897,75.798.431,,83075897.0,75798431.0
Chứng khoán đầu tư sẵn sàng để bán,TÀI SẢN > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,13.1,82.718.218,75.313.521,131.0,82718218.0,75313521.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,TÀI SẢN > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,13.2,610.279,722.934,132.0,610279.0,722934.0
Dự phòng giảm giá chứng khoán đầu tư,TÀI SẢN > Dự phòng giảm giá chứng khoán đầu tư,Dự phòng giảm giá chứng khoán đầu tư,13.3,(252.600),(238.024),133.0,-252600.0,-238024.0
"Góp vốn, đầu tư dài hạn","TÀI SẢN > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",,189.210,249.710,,189210.0,249710.0
Đầu tư dài hạn khác,TÀI SẢN > Đầu tư dài hạn khác,Đầu tư dài hạn khác,14.1,189.210,249.731,141.0,189210.0,249731.0
Dự phòng giảm giá đầu tư dài hạn,TÀI SẢN > Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,14.2,-,(21),142.0,,-21.0
Tài sản cố định,TÀI SẢN > Tài sản cố định,Tài sản cố định,,1.858.126,1.872.973,,1858126.0,1872973.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,15.1,1.219.108,1.216.957,151.0,1219108.0,1216957.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,2.733.537,2.559.025,,2733537.0,2559025.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.514.429),(1.342.068),,-1514429.0,-1342068.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,15.2,639.018,656.016,152.0,639018.0,656016.0
Nguyên giá tài sản cố định,TÀI SẢN > Nguyên giá tài sản cố định,Nguyên giá tài sản cố định,,1.709.523,1.552.403,,1709523.0,1552403.0
Hao mòn tài sản cố định,TÀI SẢN > Hao mòn tài sản cố định,Hao mòn tài sản cố định,,(1.070.505),(896.387),,-1070505.0,-896387.0
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,,51.981.273,45.754.022,,51981273.0,45754022.0
Các khoản phải thu,TÀI SẢN > Các khoản phải thu,Các khoản phải thu,16.1,39.409.465,39.015.325,161.0,39409465.0,39015325.0
"Các khoản lãi, phí phải thu","TÀI SẢN > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",16.2,7.879.131,4.897.204,162.0,7879131.0,4897204.0
Tài sản thuế thu nhập doanh nghiệp hoãn lại,TÀI SẢN > Tài sản thuế thu nhập doanh nghiệp hoãn lại,Tài sản thuế thu nhập doanh nghiệp hoãn lại,24.2,566.968,-,242.0,566968.0,
Tài sản Có khác,TÀI SẢN > Tài sản Có khác,Tài sản Có khác,16.3,4.205.385,1.893.820,163.0,4205385.0,1893820.0
Trong đó: Lợi thế thương mại,TÀI SẢN > Trong đó: Lợi thế thương mại,Trong đó: Lợi thế thương mại,17,195.492,-,17.0,195492.0,
Dự phòng rủi ro cho các tài sản Có nội bằng khác,TÀI SẢN > Dự phòng rủi ro cho các tài sản Có nội bằng khác,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.4,(79.676),(52.327),164.0,-79676.0,-52327.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,,631.012.886,547.409.439,,631012886.0,547409439.0
